price_table_id;price_table_name;description;type;status;created_by_id;created_date;updated_date;price_code_group;created_by_name;updated_by_name;updated_by_id;price_master_uuid
1;Dominican;database reintermediate;Stravenue 1080p;Account;93610;2023-04-11;2023-04-11;bifurcated Triple-buffered withdrawal;Bedfordshire 24/7;microchip Up-sized;22148;a07f8631-7bfc-46ac-a03a-4c89cefe35f2
2;Buckinghamshire Intelligent compress;Wooden microchip Refined;end-to-end;backing PNG bandwidth;55897;2023-04-10;2023-04-11;programming;parsing;Incredible;50131;56220f60-9645-49c8-b1e5-a8d9a20e9340
3;database payment bandwidth;feed action-items 24/7;Movies generate orchestrate;Keyboard product back-end;44121;2023-04-10;2023-04-11;Devolved;microchip indexing improvement;Shoals;84684;9804179b-cb3f-46b4-aa69-d857daa0ee6b
4;Car;auxiliary Legacy;Cloned systematic;Junction;64267;2023-04-10;2023-04-10;Rwanda;Switzerland wireless web-enabled;array Cambridgeshire;91326;f85229ac-df55-4bb1-a944-2fb86c7828ec
5;Account copy Florida;orchestration intranet maximized;web-readiness matrix Borders;digital Soft Clothing;16537;2023-04-10;2023-04-11;Clothing Tasty Botswana;Delaware cyan payment;Licensed;67944;d6aa1962-4ae0-48b3-a671-4285157e9f25
6;innovate Movies;indexing Operations payment;Guiana Personal invoice;Chair Bedfordshire;68045;2023-04-11;2023-04-11;Forks synthesizing withdrawal;Operative Fresh Rustic;Ports Virtual USB;39057;43e7d1f4-e4dc-41fc-9a62-f3ef877b8b1f
7;instruction Toys Chile;override;Frozen;multi-byte Gorgeous Devolved;64311;2023-04-10;2023-04-10;Ergonomic niches;Awesome transmit;Outlying;14426;5094068e-5783-4a8a-9084-ce0d067d1e5b
8;Intelligent;Malaysian;paradigms;FTP;91224;2023-04-11;2023-04-11;hack brand;Motorway Books Colorado;secured feed;19716;0de75ad6-690e-4dc4-9764-3bf83cd4ccbe
9;Outdoors navigating Refined;Computer action-items;e-enable;Norway;12433;2023-04-11;2023-04-11;Account;challenge Cambridgeshire;next solid;80069;2e777240-a97d-4ce1-b767-0bf4176a7515
10;Michigan Arizona backing;York Associate Steel;Tasty Strategist;Administrator grow;42161;2023-04-11;2023-04-10;Forward lavender;unleash quantify Futuna;Keyboard Assimilated Bike;30675;dcfe9e6a-9424-4e28-a1af-03781ce25c96
