id;brnch_itm_loctin_map_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;92744;Unbranded;solution Industrial engineer;Applications Awesome;2023-04-04;Coordinator AI
2;4501;alarm quantifying;structure;International Pa'anga Naira;2023-04-05;sticky Pants orchid
3;55776;drive;salmon Research Implementation;Indiana Data;2023-04-05;Avon white Cuban
4;25141;indigo Uzbekistan virtual;generate protocol;Via microchip Hawaii;2023-04-05;Coordinator web
5;51839;Botswana;Virtual Loan navigating;Generic Indiana;2023-04-05;B2C Savings
6;56695;wireless Public-key SMS;Money;Chile;2023-04-05;Locks Brand Robust
7;75722;deposit Account;website Maryland Accountability;Plastic;2023-04-04;firmware strategize Avon
8;45251;bifurcated;Metal;disintermediate Cambridgeshire;2023-04-05;plum hack
9;82587;Tools;Generic Soft synergies;optical Health supply-chains;2023-04-05;payment markets
10;37675;Washington Accounts;ubiquitous;Pants visualize;2023-04-05;grow Clothing Wooden
