invoice_line_item_posting_id;item_id;posting_date;posted_by_id;posted_by_name;posting_comment;post_type;deposit_id;receipt_id;post_amount;post_status;status;created_date;created_by_id;created_by_name;updated_date;updated_by_id;updated_by_name;invoice_posting_details_uuid;invoice_no;invoice_date;invoice_line_item_details_id;hcpcs_code;posting_no;is_manual_posting
1;26109;2022-12-20;3884;24/365 global;Keys;pixel Cotton;58380;52245;47123;Frozen Metal;Account Kong GB;2022-12-20;25486;Configuration;2022-12-21;81807;Virginia SAS Pants;35313f9f-8089-4e91-9ad0-14c5670236c3;sensor non-volatile;2022-12-20;25866;Colorado Garden connect;brand yellow Progressive;true
2;35474;2022-12-20;96559;Gloves;SMS grey;Borders productize;51681;23890;4758;Steel optimizing;virtual Division;2022-12-20;49456;Assimilated;2022-12-20;97575;Strategist Islands Reactive;2a2f6232-7d29-4cd8-a0b1-2d012427c98d;lavender Ergonomic;2022-12-21;13474;parsing revolutionary;SMTP;true
3;97030;2022-12-20;29900;Savings Stand-alone;monitor reboot;Tuna e-business;54141;72313;1943;wireless Toys invoice;capacity Compatible;2022-12-21;13466;Carolina hacking Berkshire;2022-12-20;59813;global approach Expanded;e3c4fd7f-170f-47c5-b315-66dcda3a084d;Account;2022-12-20;37787;Wisconsin;Optimization;true
4;16494;2022-12-20;57519;generate rich Bahrain;Ball;Cotton Automotive;89101;89993;89725;Pants facilitate;BEAC invoice toolset;2022-12-20;81475;Account Bedfordshire Bedfordshire;2022-12-20;38017;Shirt Optional copying;5229c6f2-1492-43f8-87fe-4cc7dc6773cb;Shoes Toys;2022-12-20;37137;Legacy Tasty Wisconsin;Namibia;false
5;69824;2022-12-21;80752;SSL;Granite;Concrete;69595;51705;72374;Tools Republic;Louisiana;2022-12-21;95305;maroon virtual Bacon;2022-12-20;57439;Guinea markets generate;8de1ea1c-2d94-44f8-bfb1-a49478589b94;SAS Account;2022-12-20;49580;FTP;enable;true
6;52769;2022-12-20;79003;product Realigned Rupee;Garden;Gorgeous system;82815;26854;96383;Account;Frozen Carolina;2022-12-20;18016;green red Account;2022-12-21;30504;red Rustic Cambridgeshire;0b8f3f6c-077f-4be0-8c7a-62e6fd89a172;Central pink;2022-12-20;29581;utilisation synthesize;Books Beauty;true
7;74625;2022-12-20;23390;Wooden Principal;Soap Route;channels;35024;56061;88110;compress;infomediaries Cotton Practical;2022-12-21;98747;Spur;2022-12-20;58107;Account;2f8fdf0b-a6ac-4ddd-8bdc-34f90a07d45b;bypassing envisioneer grey;2022-12-20;58585;Savings;reinvent;false
8;35822;2022-12-20;81046;payment program bypassing;withdrawal Market Court;methodical Latvia;57837;35396;58817;monitor one-to-one Isle;Account transform;2022-12-20;18887;Tools Borders Refined;2022-12-20;23279;Account Plastic;705c87c2-e80b-4258-b73c-fcbcadc3f44f;Consultant;2022-12-21;10125;Market;Sports Open-architected;true
9;20617;2022-12-21;51190;Hawaii;plug-and-play Cotton Shoes;streamline;84707;62203;49497;Car Fresh deploy;scale Avon;2022-12-21;89514;Jewelery;2022-12-20;52955;transmitter;923d4cac-4f31-4208-812b-9f7519571bd3;digital Integrated;2022-12-20;50803;Bike Central;Cheese bluetooth;true
10;10606;2022-12-21;95224;Station;Summit Timor-Leste;Savings compress overriding;31707;54019;14210;Ferry;morph Units Fantastic;2022-12-20;80947;neural;2022-12-20;37528;Silver withdrawal;0dedfe72-8520-4a39-ac12-c5f2938cac9b;Liechtenstein cross-platform THX;2022-12-20;85658;European Barbuda;RAM;true
