id;patint_insnce_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;178;PNG copy;Officer Wooden;Borders;2023-01-23;synthesizing Buckinghamshire
2;65966;Colorado Dynamic Technician;Florida;systems Health;2023-01-22;Avon
3;7328;calculating;budgetary indexing;web-readiness platforms;2023-01-23;Macedonia
4;85427;Gloves Trace customized;online deposit;Field;2023-01-23;Direct Concrete deposit
5;49418;Avon redundant;deposit override Home;strategize Berkshire;2023-01-22;payment bandwidth-monitored Loan
6;31876;transition;Representative workforce azure;input;2023-01-22;input Web Unit
7;72655;Oval Fresh Cotton;Venezuela Rubber transition;Italy Global;2023-01-23;Sports copying Plastic
8;68498;Fantastic;Manager;Outdoors;2023-01-23;withdrawal
9;14180;knowledge Costa port;Intelligent mobile;Directives Senior focus;2023-01-22;e-business Prairie Auto
10;17388;Minnesota payment magnetic;contextually-based Tactics;generating withdrawal Island;2023-01-22;deposit Pants North
