item_vendor_id;item_id;item_name;vendor_id;vendor_name;status;created_by_id;created_date;updated_date;created_by_name;updated_by_name;updated_by_id;item_vendor_mapping_uuid
1;32853;Solutions;28726;Table SDD Metal;Florida Texas Road;36347;2023-02-27;2023-02-28;virtual;bluetooth;37534;c71c2bab-7cb0-48ba-9777-7ab574237c26
2;38691;Computers;80843;reboot ivory bluetooth;radical Hawaii;99151;2023-02-28;2023-02-28;Sports Zambia orange;bypass Idaho;89582;413704d8-08ea-4d72-9d7d-611c8c8f60a0
3;77533;moderator Computers;45370;GB;Pizza Indiana Interface;86937;2023-02-28;2023-02-27;Reunion open-source;Practical program;5258;9be552dc-0155-458e-a45a-82893033944d
4;50099;payment fuchsia mission-critical;5182;Technician payment executive;virtual technologies;9048;2023-02-27;2023-02-27;Refined Quality-focused;program Borders;25198;142ed8a0-0823-4b49-b8c7-f405a71a2e6e
5;55840;deliver;78285;backing navigate;Bedfordshire Cambridgeshire Granite;13465;2023-02-27;2023-02-28;Delaware;Account;57230;9a24e3a4-a48f-4512-ac04-1b75a1d99f6e
6;79124;Corporate Outdoors;132;Berkshire;Azerbaijan Internal Ways;61788;2023-02-28;2023-02-28;Brand;pixel protocol wireless;46058;c190dff3-f1f0-4fcf-994f-ae1be6a7267b
7;2218;Creative Account fuchsia;39719;Rwanda Cheese Illinois;Cotton Human national;88318;2023-02-28;2023-02-28;Avon;Pa'anga;62278;7b438647-276d-45a1-9656-8e24a332e48f
8;74100;hard Wooden Azerbaijan;92646;Circles;Alabama ROI;80864;2023-02-27;2023-02-28;Implementation transform Stand-alone;and;91855;b5a6b9c0-6d4a-4df8-9e60-3f7f2b9b6b16
9;22708;cross-platform Granite brand;82501;Maine;Sleek Web Checking;96380;2023-02-28;2023-02-28;Wooden monitor Frozen;solution-oriented sexy;31289;0ad9da9f-a2a0-4ab5-895d-00dcfc0a0f18
10;11291;Shoes programming;30103;Loan Dam interface;Tasty;43999;2023-02-27;2023-02-28;Syrian support national;SMS Grocery relationships;47653;289051d5-bf53-4396-917f-350313f0ec58
