invce_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;Cotton interfaces eyeballs;Sleek turquoise Industrial;deposit;2022-12-12;disintermediate
2;Checking South;Wooden revolutionize;Card;2022-12-12;Factors
3;time-frame payment silver;red leverage;Total Branding;2022-12-13;Manor Vietnam Intranet
4;utilize Metrics ADP;Iceland connecting;ADP parsing;2022-12-12;Barbados
5;Inverse user deliver;Marketing;Group Indiana;2022-12-12;Fantastic
6;red;deposit engage;copy sensor Division;2022-12-12;Principal Rupee Table
7;Manager Cheese Phased;SCSI;cutting-edge FTP Frozen;2022-12-12;invoice
8;Liberia;overriding Flats copying;Zimbabwe;2022-12-12;turquoise
9;virtual Oregon;Investor;deposit 4th Peso;2022-12-12;integrate Polarised Paradigm
10;Grocery Yemen Market;deposit;Handcrafted;2022-12-12;needs-based synthesize
