id;prce_detl_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;37863;applications bus;cross-platform connecting;Account bi-directional programming;2023-04-11;applications Human
2;49326;technologies Extension Car;matrix Tools;transmitter Berkshire;2023-04-11;Soft
3;38185;Handcrafted driver Table;primary Ohio Curve;sky Iowa District;2023-04-11;Tools
4;28;forecast Gloves;haptic;Vermont;2023-04-10;Marketing functionalities Arkansas
5;719;Quality-focused Louisiana;invoice hardware withdrawal;knowledge;2023-04-10;PCI Handmade plum
6;81695;solution optical ROI;invoice synthesize;Keyboard yellow Specialist;2023-04-10;infrastructures Buckinghamshire Steel
7;93855;Wyoming Planner;Guernsey withdrawal;silver;2023-04-10;& SSL Grocery
8;97623;port;Granite Guinea-Bissau;logistical;2023-04-10;Inlet Eritrea
9;48747;invoice Directives THX;moratorium;Inlet Cotton;2023-04-11;success Louisiana Isle
10;54072;deposit neural Handcrafted;set Soft;Cloned Tuna;2023-04-10;protocol Producer
