id;dcumet_tpe_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;93786;Frozen hack;Movies;Creative matrix;2023-04-02;1080p well-modulated calculating
2;46645;Shoes orchid Ranch;Generic Alaska;e-business;2023-04-02;integrate
3;51812;Response generating lime;Brand index;District Steel SMTP;2023-04-02;back-end Flat Vision-oriented
4;74836;withdrawal revolutionary;Liaison;Cotton;2023-04-03;syndicate Virginia cross-platform
5;63469;Balboa SDD Fresh;synthesize digital Gorgeous;discrete;2023-04-02;Mountains
6;43086;Triple-buffered Checking;port holistic Cocos;Borders application invoice;2023-04-03;engage methodologies
7;45148;Data;Electronics Granite;Architect;2023-04-02;networks
8;75170;Dynamic;firewall;withdrawal;2023-04-03;Carolina azure Central
9;93802;redefine Bedfordshire;neural-net Pre-emptive;black;2023-04-02;connect Iran
10;65100;Refined Chips;deposit;Upgradable Liaison;2023-04-02;Product virtual overriding
