par_details_id;par_id;item_id;item_no;item_uom;item_quantity;hcpcs_code;description;item_name;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;par_details_uuid
1;87818;34910;Devolved Borders;Account;71576;calculating Bedfordshire Bedfordshire;Chicken Ukraine;pricing Union payment;programming;90595;parse XSS;2023-04-04;576;bluetooth;2023-04-05;0faebddc-718b-4fd0-8c65-d9bb4db06b3d
2;41167;71482;Berkshire New SQL;withdrawal Engineer niches;88049;Table;withdrawal transmitting;redundant cultivate compressing;value-added Metal;9938;Engineer Concrete architecture;2023-04-04;67243;Intuitive human-resource Borders;2023-04-04;6b2a7372-32e9-4c2f-9c1d-f8764b6b326d
3;69646;49718;input;card;49486;hack;bi-directional initiatives backing;Account Cloned;Account reboot Fantastic;66002;AI Nigeria Synergistic;2023-04-05;46029;Rue solutions XML;2023-04-04;93e4b66d-23c5-4de4-a5b7-983b513bf8ce
4;90592;87703;sexy Plastic;Delaware drive;90637;even-keeled Radial;Analyst;Configuration Cotton;Arkansas world-class;85080;Street;2023-04-04;47536;solution-oriented ivory;2023-04-05;b906ee35-cd06-48a9-8b45-352fb1251856
5;92160;12800;Computer vortals primary;FTP Incredible;4140;collaborative cutting-edge;salmon;Grocery virtual Cotton;Shoes payment overriding;13980;grow circuit;2023-04-04;24168;Mississippi;2023-04-04;5ff60f03-f9db-4f74-b742-df3b8a1550c9
6;18496;46837;Rubber;bus parsing Tasty;85219;Handcrafted Refined Loan;up Soap backing;Borders bandwidth;FTP Intelligent;21743;Card;2023-04-04;48771;Technician zero multi-byte;2023-04-04;383e9d07-94a6-4725-a273-7b52ced96bf4
7;64445;94742;actuating;Bacon Borders override;59837;mission-critical lavender;Games Table;withdrawal;purple Netherlands;65104;wireless coherent;2023-04-04;33457;deposit robust Cotton;2023-04-04;9661ba3f-c054-4b77-bfba-59cc3142f956
8;90125;47036;bifurcated Estate solutions;Unbranded parsing;22252;ivory Tuna;1080p;Fantastic Verde;invoice;56458;Steel;2023-04-04;3320;Pizza Alabama Account;2023-04-04;ce3b2962-50bf-474a-8493-512c3562ee8c
9;79883;80720;digital calculating;Diverse;37961;Rand synthesize Pataca;multi-byte Palau matrix;Personal;Agent algorithm Account;37645;cross-platform circuit;2023-04-04;94997;GB multi-tasking Quality-focused;2023-04-04;cbe835e9-21d7-4071-8b72-b66638c1bcbf
10;30420;66141;Bike;white Pizza Intelligent;76113;HTTP Row primary;facilitate;yellow;Sleek Pizza;83178;Tools Dinar Data;2023-04-04;75348;1080p Avon Profit-focused;2023-04-04;9d025eb0-dcd1-4f51-aaa8-d94d2ff18b9b
