role_functionality_map_id;functionality_id;role_id;description;status;created_by_id;created_date;updated_by_id;updated_date;created_by_name;updated_by_name;role_functionality_map_uuid
1;10473;90178;Bacon withdrawal Manors;Unbranded;40547;2023-06-29;66264;2023-06-29;Toys empowering reboot;Leu;e9f8dd86-057b-449a-8bd5-6b8dc5e5ad34
2;49199;69561;Meadow;turquoise;39162;2023-06-29;2841;2023-06-29;Trail Chips bypass;Refined;a66f8dcd-8e28-4283-853e-d310e6c0e9af
3;11025;23014;Michigan Cambridgeshire Mouse;disintermediate Concrete;27870;2023-06-29;26721;2023-06-29;Brand Lead Global;Global;ceab6e9f-0e85-4170-818a-578d2a698850
4;72389;37525;optical Arkansas;installation Bacon;80544;2023-06-29;80914;2023-06-28;Liaison Intuitive;middleware;bb915e6f-2bc6-4a7e-a161-3bbf14381fd1
5;45779;48606;Metal;Malta Australia;26223;2023-06-28;75456;2023-06-29;supply-chains;Assurance Sausages;863bf4fd-76a1-4ade-aa3a-a3d4c443a6eb
6;91542;91358;Kentucky;Auto index aggregate;36831;2023-06-29;34246;2023-06-28;harness Object-based;Nakfa;08effb13-0ded-42ac-857b-07d097bc6e8a
7;35014;60543;Tactics RAM Wisconsin;Minnesota deposit River;87396;2023-06-28;54300;2023-06-29;structure white Reactive;indexing;232923e4-a273-4806-8986-01c8272b3de9
8;82919;63476;Associate;Drive Somalia empower;28191;2023-06-29;94299;2023-06-29;override;metrics;d971c5da-bab6-4f25-9d59-8d29b45cb8d5
9;50219;44730;Designer Valleys navigating;Product;88704;2023-06-29;26771;2023-06-28;Soap Borders;cutting-edge Books Virtual;a63a2639-3548-4786-87f0-d727f395bc62
10;95534;10052;virtual;Proactive Assimilated Extended;70586;2023-06-28;17875;2023-06-29;Quality-focused green;tan bricks-and-clicks;26d70059-35ab-4447-b363-0f010661d95a
