task_id;task_name;object_id;object_name;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;task_type_master_uuid
1;mindshare;16676;Rico;Specialist Lithuania;25771;Monitored District;2023-05-09;99618;synthesizing for Road;2023-05-09;2bea7c76-1c40-4159-b45c-ce42309e7291
2;Soft;25095;compress;Legacy compress;19540;multi-byte Gorgeous;2023-05-09;62128;Sleek Account;2023-05-09;3e80ee06-1d0b-4565-b8dd-ea9eaa6df3bc
3;Mission Global;63377;Yemen Mauritania;Chips empower;36485;bus;2023-05-09;47212;foreground;2023-05-10;bc2b510f-8ee2-43db-b032-55b3ab2817ae
4;JBOD convergence;12074;program teal;Networked;45510;tan world-class;2023-05-09;36361;Buckinghamshire Cotton Rubber;2023-05-09;0ed3bd8b-c7d6-4c9e-9250-e5780397ef5b
5;Rubber support;3488;black Practical whiteboard;Tools;61928;black Direct Soft;2023-05-09;41103;generate;2023-05-09;a3627a03-ca91-41a5-8201-acadddba7fde
6;access;47427;platforms optical Ford;panel ivory Architect;22923;Cambridgeshire Valley parsing;2023-05-09;56444;high-level Nakfa;2023-05-10;248425a1-0ec1-4d2d-bdd0-6326ad3da018
7;up Identity turquoise;96034;Way monitor Unit;middleware Mississippi;6511;client-server West;2023-05-09;21244;lavender Iowa Steel;2023-05-10;39bda34b-c84d-4c75-b29b-bf36f64ea25d
8;fuchsia content;63284;intelligence Armenia;online Home synthesizing;76466;Common;2023-05-10;30302;bus;2023-05-09;c00a575e-b7f8-42b6-9bb5-9f0de519b076
9;Tala Meadows Loan;63052;Account;redefine quantifying;36129;bluetooth;2023-05-10;86787;Sports bypass;2023-05-09;2a0934d1-522b-4e10-91d8-d91a322f7429
10;Market;69748;compress Card;program;64855;hybrid;2023-05-09;61485;deposit neural Court;2023-05-09;62aa9649-0a2c-4b1b-a9e6-cc096ab00b44
