id;sals_ordr_fincial_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;47352;embrace;solution-oriented Spring;open-source Namibia Metal;2022-12-13;Bolivar index
2;68695;Estates user-centric;maximized;Table JSON Loan;2022-12-13;Vermont
3;18187;Architect;Identity Synergized gold;platforms communities;2022-12-12;Ringgit programming
4;40690;transmitting intranet Gorgeous;Agent Samoa;Synchronised Plastic;2022-12-13;driver Regional channels
5;25708;Rial Principal magenta;24/365;Parkways;2022-12-12;turn-key Down-sized
6;12547;Balboa copy;application Technician Director;vertical Station;2022-12-12;District bypassing
7;9685;California Gloves Jordan;bandwidth HTTP didactic;payment;2022-12-12;HDD Brooks maximize
8;10339;payment Passage Grocery;Carolina orchid Electronics;Future utilize transmitter;2022-12-12;Plastic Gorgeous Bolivia
9;99679;Electronics;Dynamic interactive Officer;Granite plug-and-play;2022-12-13;eyeballs
10;98200;Loan static;out-of-the-box invoice payment;Israel ROI Granite;2022-12-13;purposes
