wip_status_id;wip_status_name;status;created_by_id;created_date;updated_by_id;updated_date;created_by_name;updated_by_name;wip_status_master_uuid
1;Ergonomic Rubber;Assistant invoice;93441;2023-04-02;48967;2023-04-02;Mountain;Wooden California;84ced7bf-8d36-4315-9b59-f579947d6d86
2;Object-based Extension;Response access Sleek;34224;2023-04-03;37733;2023-04-02;navigate sensor;Creative;570ae33d-071c-40be-bfa7-2a84a7abd847
3;Towels Dollar Cotton;Assistant orchid Account;92850;2023-04-02;20336;2023-04-03;Home;Configuration Isle;0c1c020d-db2b-4062-a526-51b96a9792b4
4;Ameliorated Ball;Islands Squares withdrawal;57339;2023-04-02;46087;2023-04-03;pixel yellow;Synchronised Peso bifurcated;15cd63c9-2cd6-458f-96bd-89f240e58009
5;up;Account Connecticut;70774;2023-04-03;40397;2023-04-02;seize;Alabama cultivate 1080p;4bbc2c18-eec0-43b8-bc26-704b255c0aac
6;Security;Minnesota;94271;2023-04-03;22964;2023-04-02;Ngultrum;Awesome Tokelau Pa'anga;27b56e3a-b9a8-4e73-9e8d-f9386cdbe091
7;Lead Cambridgeshire methodologies;Connecticut;846;2023-04-02;90260;2023-04-02;Market Infrastructure invoice;override;99ed3982-8b51-4d26-a511-f544cac8e753
8;calculate Assistant;target Internal;91063;2023-04-02;72154;2023-04-03;IB interfaces Buckinghamshire;Borders protocol neutral;121e5b69-f2cf-44a4-94db-ab2cb672fe4c
9;visionary Auto;withdrawal;64652;2023-04-02;43514;2023-04-02;Sausages;synergistic;e3aef10a-c3da-4cd6-a6ac-40b6d21903f1
10;payment;transmitting feed Integration;1703;2023-04-02;69369;2023-04-03;Lead Rupee Grocery;base next-generation moratorium;49977b25-d248-41c8-b226-2468898eba55
