endpoint_id;endpoint_name;endpoint_group;endpoint_desc;endpoint_url;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;endpoint_master_uuid
1;Loan Republic;Virtual Optimization Total;Market;architect;e-business;85935;Fresh invoice bus;2023-07-07;15780;action-items Sports solution-oriented;2023-07-06;301539d9-3a6b-439b-adfd-f86d7b917ea6
2;card;Minnesota;Paradigm Customer-focused;RSS;Function-based;20038;AI;2023-07-07;42924;calculating;2023-07-07;1bab310c-4ceb-4f3b-a763-11a8d8976c90
3;e-commerce;Cambridgeshire Sharable green;Persevering state;TCP Gorgeous;invoice Market Administrator;94683;world-class incubate Representative;2023-07-06;50067;Pines Borders compress;2023-07-06;7acee7ba-d9b7-4f11-9346-fab477285911
4;Interactions Thailand Account;Fantastic interfaces;firewall;Response policy;Operations capacitor Central;45542;bleeding-edge;2023-07-07;60494;system;2023-07-06;5e557ffd-a2ce-4224-8720-b4cadb5b4db5
5;Paradigm Dinar Ergonomic;Fresh;Future drive gold;Integration compelling bleeding-edge;integrate end-to-end Israel;55364;connect Movies Synergized;2023-07-07;53094;static Practical;2023-07-07;af83f6cb-8e09-466b-a7ca-dc139394d0d8
6;redundant auxiliary;Berkshire Keyboard;enterprise JSON;invoice responsive;streamline 1080p pink;1274;morph;2023-07-06;44044;wireless Swiss;2023-07-06;75aec9d1-3b92-4bfa-a166-3924b83d2c22
7;Creative;Global;compressing strategic;Music Shoes parsing;Research;66193;Gorgeous Valleys Clothing;2023-07-06;2380;end-to-end holistic;2023-07-06;e0c4f996-bea7-495b-b3a9-2c43dc21c947
8;Colorado Incredible;cross-media azure;Tools See Drive;Buckinghamshire;Tactics Pre-emptive Wooden;47779;National withdrawal Cedi;2023-07-07;90603;Bacon Orchestrator;2023-07-06;9e347388-14b8-4ca9-a132-0f0175bef242
9;TCP gold;index Up-sized;Lane;Tuna;JBOD Bedfordshire;99861;Chief Kansas;2023-07-06;69303;override Tobago;2023-07-07;0e258b85-6493-4ee9-a27b-69360a634e5d
10;to Buckinghamshire Cambridgeshire;azure;Specialist Computer;navigate Granite Forks;Land user-centric Cambridgeshire;92808;architectures circuit Generic;2023-07-06;57286;Bangladesh Money Buckinghamshire;2023-07-07;cbb0a7d9-6673-4eb1-8985-66dc740ac350
