item_procedure_code_map_id;item_name;item_no;item_description;item_uom;procedure_code;modifier_1;modifier_2;modifier_3;modifier_4;status;created_by_id;created_by_name;created_date;updated_by_id;updated_name;updated_date;item_procedure_code_map_uuid
1;transmitting;Legacy Toys turquoise;hacking Berkshire;feed;Buckinghamshire;deposit Lead Account;synergy Personal;haptic South;backing definition;fresh-thinking cross-platform methodologies;96931;violet Pizza Kroon;2023-03-01;5614;middleware Home quantify;2023-02-28;cd803bc2-864c-48d3-8dd6-41d890ba15bc
2;Motorway salmon;viral;scalable;override Profit-focused;concept Pre-emptive;Gloves;Plastic Turkmenistan optical;transparent interface Intelligent;Lucia;Palladium;82032;Ball;2023-02-28;30368;Dinar array;2023-02-28;d5950781-231f-4473-ab8d-e81fca772f4c
3;Books Swiss markets;eco-centric syndicate;Engineer overriding;Planner Awesome;Guyana Directives hack;blue Soap gold;Customer;Bahamian;Liechtenstein e-business;Ball Cambridgeshire tan;58358;Electronics Strategist;2023-02-28;3759;parsing wireless;2023-02-28;4355ca89-f6a8-4613-a4b2-b720c3c10144
4;Bedfordshire Island;Coordinator withdrawal Games;Brand Berkshire;experiences Franc Jewelery;generation;Assimilated enable Connecticut;withdrawal robust;Future engineer;distributed invoice Concrete;Iranian Account Focused;26886;deposit Faso;2023-02-28;7685;copy input;2023-03-01;ad4d5a7b-4c57-4ad3-82ba-75686d52a030
5;salmon projection Towels;FTP haptic;Avon programming benchmark;redefine deposit Solutions;mission-critical;Chief;interactive Avon;synthesize card IB;synergies dot-com;ubiquitous Sudan Taka;64866;Forward;2023-02-28;91591;parse;2023-02-28;fcd7a41a-b923-4107-9529-d12aad559ae4
6;Investment;Bedfordshire;XML ubiquitous Communications;Central Soft;Pass Account copy;Car Executive;GB Future-proofed visualize;budgetary Fantastic black;compelling;Program Chicken Account;45009;Antillian scale;2023-02-28;90244;Object-based Franc grey;2023-02-28;85673022-0605-4ab4-bb6c-ea77cd3bb781
7;orchid enable;content Computers;calculating Buckinghamshire system;Operative Sports parse;Shirt;Gateway Arizona multi-byte;Electronics Bedfordshire Computer;Generic;Personal Jordanian;Cameroon 24 Colombian;5865;Grocery application;2023-03-01;17;Car;2023-02-28;77854578-bbb1-42c3-97de-bd3a8a831df5
8;e-business maximize;Card Berkshire Sleek;Small;Well e-enable;Guinea;Nevada calculating Terrace;Research;Architect Unbranded;overriding;killer Pre-emptive;83221;RSS California;2023-03-01;62965;auxiliary open-source mindshare;2023-02-28;b8785d45-4e1a-468e-96f4-199aac7cc5fe
9;platforms navigate Fresh;copying Optimization Rubber;incremental architect;quantify;Wells;Frozen Future;Mills portal;Corporate neural;Account Gorgeous reboot;scale Ariary;87816;Interactions mobile application;2023-03-01;6222;Account USB;2023-03-01;d31cd7f4-f25c-4130-885d-1db98ddbcdce
10;Territory Officer;redundant;niches;strategy Response;Movies Usability Shirt;Plastic Cuba;synthesize JSON Illinois;Metrics Quality SDR;Handcrafted;supply-chains payment Handmade;29937;SQL copying;2023-03-01;34024;Burkina;2023-02-28;6bdc8487-c3b1-4f4b-af4d-a12bfc8f8e66
