branch_group_id;branch_group_name;company_id;status;created_by_id;created_date;updated_date;updated_by_id;created_by_name;updated_by_name;branch_group_uuid
1;knowledge;81296;productize programming;32705;2023-02-08;2023-02-09;59229;pixel digital Borders;optimize;77f75977-3ef0-4e2c-9bc7-a1aa9af622d0
2;Reactive synthesize;45037;scalable wireless Guernsey;56240;2023-02-08;2023-02-09;81386;Industrial real-time;Automated Synchronised Squares;7d7f57a5-08aa-406d-a201-8394bd3c02b8
3;programming Fresh;96103;International plum indigo;28726;2023-02-09;2023-02-08;98947;wireless;enable efficient;80714fee-42dd-4658-8934-fd3da5da34aa
4;rich hard;74688;Architect needs-based cyan;10763;2023-02-09;2023-02-08;27153;lime;Hampshire;ba4e3ab0-f84b-4511-b31e-503bc43e043c
5;bypassing;89221;Puerto Gloves;20051;2023-02-09;2023-02-08;95928;Pre-emptive;Monitored Bedfordshire;cc10dc02-51da-4fe3-9e9d-79b48ce30b84
6;Buckinghamshire;53536;Dollar;31265;2023-02-08;2023-02-09;34844;turquoise;Hat Home;d73af478-81c5-4bb3-ab46-9c489af426d9
7;transmit;22193;compressing Ports Centralized;44348;2023-02-09;2023-02-08;89666;National Paradigm payment;deposit online;dd9eefe4-8f40-4121-932b-32bbeb9cc4c3
8;transmitter communities;20612;overriding invoice;46521;2023-02-08;2023-02-08;35494;deposit;generation;262ffe46-c046-48ed-babd-2f6e6701ab3a
9;relationships;81458;Land Accountability;14772;2023-02-09;2023-02-09;4211;CSS;green Internal;535b7cc1-ad14-47c4-8ebd-8de9ba945526
10;optimizing;48212;ivory;4539;2023-02-08;2023-02-09;28107;Licensed overriding Table;deposit;396d9051-3b84-4f54-bd35-2433bc2e4769
