manufacturer_id;manufacturer_name;status;created_by_id;created_date;updated_date;created_by_name;updated_by_name;updated_by_id;manufacturer_uuid;contact_person_name;web_url;address_line_1;address_line_2;city;state;zip;email;fax;contact_no_1;contact_no_2;efax;manufacturer_no
1;Czech engage invoice;orchestrate;80674;2023-01-15;2023-01-15;Alabama Concrete Chief;Small Automotive portals;25365;082e7c9c-2e05-41a4-b57f-9b7a809f5828;withdrawal;Designer;Extended Hryvnia Shirt;Advanced;West Billie;Multi-layered bypass;platforms;Bert.Homenick@yahoo.com;Sandwich stable;transmit;payment;Implementation Versatile;wireless
2;Fords;Research Pizza;71891;2023-01-15;2023-01-16;ubiquitous mobile;Street Israeli;82626;3bd792b7-4576-46e6-a815-24b09115dc0e;Vietnam microchip;index Human Table;Unbranded bypass;program Implementation foreground;Port Litzy;Heights Small convergence;connecting;Cooper.Kiehn@yahoo.com;Cape Horizontal transmit;PNG Strategist Creative;Brand eyeballs transform;Mills e-services;Configurable
3;Account;complexity Grocery deploy;26093;2023-01-15;2023-01-15;Marketing;Soft Account Practical;11742;d628f584-524a-46fb-a93c-cd4176a20cee;programming;Executive customized;functionalities feed;Pines program;West Margarettmouth;structure;website;Elvis.Kutch@gmail.com;ability Loan payment;Euro;virtual Response;iterate system;Franc mesh
4;Exclusive haptic hub;Euro Timor-Leste;37432;2023-01-15;2023-01-16;Kuwait solution;silver engage;18588;13622bac-8fff-4b0b-851d-fbcad8fe58b0;virtual Metal Account;Interactions card Universal;SDD;monetize;Port Lilly;Tactics Designer;Producer alarm Licensed;Juana.Stehr@gmail.com;multi-tasking Overpass;Ergonomic integrate virtual;Steel;Electronics Implemented hardware;Stravenue
5;Account synthesize;analyzing;34024;2023-01-15;2023-01-15;dedicated network Steel;robust Accounts Guinea;59802;3d28f922-5bb4-473b-bbfb-9257f83fd937;innovative Dynamic Account;solution-oriented;capacitor Applications Frozen;array Marketing;West Lenniechester;well-modulated calculating (Keeling);client-server;Jazmyn.Robel@hotmail.com;non-volatile;invoice pixel;withdrawal;Pine ubiquitous system;Florida Concrete
6;database;Account microchip;53183;2023-01-16;2023-01-15;visionary Connecticut networks;Officer application;7452;fecd3fad-82e2-40b8-856c-7e8120847cd8;pink;solid out-of-the-box;AI;virtual;Langworthstad;virtual Toys;Business-focused;Myles.Buckridge@gmail.com;Oregon Toys;Rustic Hat;AGP;alarm Small;infomediaries
7;RSS;Tools bandwidth;45564;2023-01-15;2023-01-16;compelling JBOD Implementation;generate Ameliorated payment;37290;2404aa5f-fbd8-446f-b50f-e9f691f8897b;Toys Ball;Car;Chief;olive Granite;Lake Felipe;even-keeled;Bike Washington Metal;Stan.Rempel@hotmail.com;conglomeration Buckinghamshire discrete;Fantastic;navigating withdrawal Borders;exploit synthesizing;Buckinghamshire syndicate
8;Guernsey Metrics neural;Specialist;95262;2023-01-16;2023-01-15;value-added Avon up;override;98826;464a78b6-bdc1-4bfb-b403-3af66dcfa510;bus Mozambique B2C;card;Plain Idaho;mindshare;New Brannonchester;Consultant withdrawal;Metal Health;Clinton91@gmail.com;Concrete human-resource;Ways;transmit bluetooth;Strategist;hardware Incredible Organic
9;generate Account De-engineered;withdrawal;72126;2023-01-15;2023-01-16;convergence;withdrawal;11206;be02164f-938c-470d-a7b6-2b0ecd178de4;program;Tools;Customer program Iowa;Pre-emptive National;South Novaville;Table Pants initiative;yellow Reduced;Rowland.Jast@hotmail.com;Serbian Assurance XSS;Refined overriding Sleek;Customer;ubiquitous morph payment;Illinois withdrawal SMTP
10;Market administration;Chief Gorgeous;16545;2023-01-16;2023-01-15;Frozen;navigating Bike invoice;60906;cf8bba57-2057-41e0-b4fe-6172a74885cf;transmit;SDD;ivory;bypass integrate moratorium;Port Salvatore;Baby;Tala transmit;Lilian_Bechtelar@hotmail.com;Car mindshare Handmade;upward-trending Legacy Philippine;Cross-group;grey circuit;violet Cambridgeshire Wyoming
