receipt_id;receipt_no;deposit_id;deposit_no;receipt_reference;receipt_amount;payment_mode;payment_date;receipt_notes;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;receipt_master_details_uuid;receipt_status
1;Home non-volatile;41797;Tactics feed;SAS Lock;62758;Communications toolset;2022-11-30;Auto;payment invoice Metal;97848;calculating withdrawal;2022-11-30;37169;supply-chains;2022-12-01;fc7c3750-5e08-4500-a9af-bf8cdeb5bcde;Product
2;wireless;32234;Ridge withdrawal Principal;deposit Dobra productize;70357;impactful;2022-12-01;Rial Wooden deliver;azure protocol system;88337;Keyboard;2022-12-01;90828;sticky Mauritius Director;2022-11-30;745eabe2-d952-4147-af6f-cfeb34e8ea4d;Zealand Borders
3;Korean SMTP;16880;Borders withdrawal;Devolved;49664;deposit;2022-11-30;withdrawal Health;infomediaries;80447;Pizza neural Sausages;2022-12-01;80028;lavender;2022-11-30;0ea5c212-3e3b-4545-95d2-962f2db70711;Refined back-end Interface
4;Health engage New;45683;Connecticut Mouse Unbranded;cross-platform systemic index;64815;Account;2022-11-30;Cotton Supervisor cultivate;collaboration;60149;payment;2022-12-01;92495;markets portals;2022-11-30;e5cea885-aecf-4f9b-bdc8-38dec1906f62;stable incubate
5;payment;35782;online pricing mission-critical;Maryland;31242;Reactive cyan Meadows;2022-11-30;Account clear-thinking;Rubber Maryland Sleek;58352;TCP RAM;2022-12-01;86172;Intelligent;2022-11-30;9344922f-dc22-43f0-bbba-2b66672aaf26;Directives
6;Berkshire envisioneer Managed;54171;invoice Salad Home;Intranet redundant visualize;55897;Dakota application;2022-12-01;Car;driver withdrawal Upgradable;42780;Drive Account invoice;2022-11-30;94083;navigating;2022-11-30;bdf2c147-163d-4424-9cf5-b936b547ae66;HDD methodologies navigating
7;engineer;54947;Investor ivory;Concrete;51072;olive reinvent;2022-12-01;navigating Intelligent;Frozen Savings;40247;extend;2022-11-30;59076;Global Ameliorated;2022-11-30;3afc1ba6-d6f9-4ffa-ba37-073c943da6a4;Rustic
8;even-keeled unleash Tasty;79357;Direct;Paradigm;27251;matrix Concrete;2022-12-01;mint;Checking;23458;Mandatory Clothing open-source;2022-11-30;54639;Incredible Pizza;2022-12-01;10138d65-0a67-4fe1-b1cd-1e33884b5f79;efficient grow deposit
9;Quality Shirt up;41271;Intelligent CFA Refined;generating Steel;16943;Uruguayo envisioneer transmit;2022-11-30;Gourde Technician Up-sized;neural;26660;of artificial Gloves;2022-11-30;28546;solutions Malaysian;2022-11-30;2d8f9f12-d8fb-443f-82b4-fe4a158376b8;Berkshire solid Granite
10;optical Seamless;40542;web-readiness;payment;82958;Steel Village;2022-11-30;Communications Tanzanian Principal;Generic SMTP;14851;bottom-line Avon;2022-11-30;41228;Optimization Sausages;2022-11-30;e5162fc9-0c82-4c97-941a-3fc98a7c2f29;Frozen Virginia
