pos_id;pos_code;pos_name;status;created_by_id;created_date;updated_date;created_by_name;updated_by_name;updated_by_id;pos_master_uuid
1;THX optimizing;Officer rich Program;Florida Account Cocos;93117;2023-04-03;2023-04-02;envisioneer;magnetic HDD;73882;90a59c02-f956-449f-9e5d-b23f7cd9c4fb
2;Engineer;Delaware;blockchains markets;7923;2023-04-02;2023-04-02;proactive Applications;functionalities;27134;e0ab2a00-695e-40d6-8a40-3f30c531d302
3;deposit Computers;navigating protocol Steel;mindshare Steel;99720;2023-04-02;2023-04-02;Avon;hack;91309;568d3860-060f-4393-b743-bd205e930372
4;orchid Road;innovate Analyst Baht;granular protocol Associate;83582;2023-04-02;2023-04-02;Direct;Architect Leu Gorgeous;86687;35bf30f2-f021-4e21-b5f3-b1078e544b94
5;blockchains Market;haptic Sports;Fish Chips secured;80052;2023-04-02;2023-04-03;Business-focused Director;strategic Beauty neutral;43486;f4104b35-1241-42d2-aa62-eb8f39624f96
6;Planner Cotton Wooden;mobile;Soft Clothing;68601;2023-04-03;2023-04-02;Iowa;JSON bypassing;31458;e3337ecf-1e56-4896-ad92-5032b4a3f0bb
7;optical Sleek;Route actuating Frozen;Monitored Account;93627;2023-04-02;2023-04-03;e-markets deposit;Markets transmit;70098;de0fec81-7da5-4f7b-bf45-efa7fe3f607c
8;indexing Principal Pound;Dollar access;ADP Garden;19155;2023-04-03;2023-04-02;Luxembourg;Bacon Concrete;7718;9b565f18-23e8-4a00-a6fe-5b6db876fe16
9;PNG;Car;array;12280;2023-04-03;2023-04-02;Cotton;Wooden sensor Guinea-Bissau;44805;16fee2cd-6db1-4317-8123-0940bae69762
10;matrix;Research Northern target;synthesize Metal;55776;2023-04-02;2023-04-02;Intranet Fish bandwidth-monitored;XSS bus;59978;76899c28-d994-4a47-a8c5-c1a600eaa949
