task_reason_id;task_reason_name;status;created_by_id;updated_by_id;updated_date;created_date;created_by_name;updated_by_name;task_reason_master_uuid
1;Handmade;user-centric;48665;10510;2023-04-02;2023-04-02;Clothing;Programmable;31297a1a-bef0-4443-a7f9-e3900cfd189f
2;synergistic;utilize bandwidth;59815;56064;2023-04-03;2023-04-02;Account;budgetary online;37cba587-50c5-46dd-a2d5-c09615b1e754
3;hacking;Florida green District;1680;6755;2023-04-02;2023-04-03;Analyst Lempira;virtual;060db9fa-7deb-4e41-99b8-c35fc2c9508b
4;panel granular;Customer-focused compressing evolve;83883;93669;2023-04-02;2023-04-02;Fantastic Market Chief;Fundamental;c6c188e4-fb16-45da-afb1-4bbcb063950c
5;Granite XML Internal;Investor;2107;62356;2023-04-02;2023-04-02;optical drive best-of-breed;Zealand Unbranded B2C;52447c22-3d42-428d-a7df-fa1f3f4c40ea
6;HTTP of;Re-engineered;57949;16681;2023-04-03;2023-04-03;Generic Oklahoma Directives;Licensed archive;04c8c057-c9c1-4c53-bbd5-9e5f5f9c71b5
7;connect turquoise synergies;users responsive;61082;8375;2023-04-03;2023-04-02;Bedfordshire;Human payment;3fc0ef42-bf48-440a-a9c6-fe8ebc2f8866
8;Chief;Macao Sleek calculate;78622;92565;2023-04-03;2023-04-02;indexing bandwidth scale;e-business neural systematic;83464fa8-49db-49b9-a5d7-9dd0c8af7807
9;Generic clicks-and-mortar back-end;Ecuador deposit;76615;95250;2023-04-02;2023-04-02;RAM;virtual Legacy Plastic;41a4168f-a3c7-4388-a08d-55f22fd7558e
10;Idaho impactful Accountability;Card Peso Concrete;52784;53661;2023-04-02;2023-04-02;cultivate;alarm;076a0743-6209-47c5-b7ef-ef835d8f055c
