id;insrnce_vrif_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;55964;fuchsia indexing Persevering;Place;withdrawal Canyon Licensed;2023-01-23;Niue
2;78853;Tonga Alabama Rubber;Communications Baby interface;Music Nebraska;2023-01-22;bottom-line Ergonomic Networked
3;58740;viral;maximized Baht Borders;Account maroon;2023-01-22;azure e-enable Developer
4;7137;interface California;XML;Engineer Mouse Pizza;2023-01-23;Kiribati
5;71911;Chicken;Solutions lavender Orchestrator;Borders Gorgeous Montenegro;2023-01-22;Renminbi Avon
6;43653;loyalty Fish;bypassing;quantify innovate;2023-01-22;CSS
7;32309;Michigan Fresh redundant;Chicken Pound;Borders cutting-edge Identity;2023-01-22;up EXE Handcrafted
8;89345;Specialist Checking Berkshire;methodical Gloves bifurcated;azure;2023-01-22;Berkshire Shoes
9;97364;connect;solutions;Cotton Garden;2023-01-22;Fresh blue
10;95542;Unbranded;monetize;Tuna Pound Fresh;2023-01-23;Sports navigate
