inv_line_itm_psting_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by;id
1;integrated;Rustic;Consultant Producer Customer;2022-12-12;application;65479
2;intangible;Director Handmade;Account Lead;2022-12-12;Research;47116
3;cross-platform red Interactions;payment Bedfordshire modular;Taiwan;2022-12-12;system;70057
4;XSS primary;generation override;Bedfordshire CSS Gorgeous;2022-12-13;Soft;6368
5;generate navigating Islands;Frozen schemas firewall;Rustic Borders;2022-12-13;copying auxiliary Intelligent;11946
6;Michigan;Soft;B2C invoice Investment;2022-12-12;Specialist;85856
7;maroon compressing;Proactive;Product Licensed;2022-12-13;panel;64047
8;Plastic THX optical;relationships Florida Sterling;Credit Executive;2022-12-12;Assurance deposit;33567
9;Engineer;transmit olive parse;Team-oriented Generic;2022-12-12;Utah enable;45119
10;Grocery Lake;empower Intelligent;Washington;2022-12-12;Colorado Granite matrix;51089
