order_classification_id;order_classification_description;created_by_id;created_date;status;updated_by_id;updated_date;created_by_name;updated_by_name;sales_order_classification_uuid
1;Forward experiences Groves;24404;2023-04-03;task-force;9829;2023-04-03;Officer;Chicken Ergonomic;0d0a7d4c-f81e-4bc7-8844-c4e57b116e28
2;plug-and-play orchid generating;12046;2023-04-03;Texas Principal;99831;2023-04-02;THX functionalities bypass;Concrete hard;39368a48-413d-4632-a3cb-8b0470bb0da6
3;Global backing Optimization;45344;2023-04-02;driver JSON leverage;93326;2023-04-03;Frozen mint;Shirt tolerance Cotton;0cd8c89f-79ca-475f-afd1-5a3e737f279b
4;Industrial streamline Towels;67754;2023-04-03;GB;22607;2023-04-02;Avon Rupee;Credit Mali generating;4abbc29b-5ef6-45d9-9afe-630bca7a9784
5;Bacon Bike;59204;2023-04-02;firewall Future silver;24571;2023-04-02;Future Bacon Chips;Chicken wireless;3ff163a7-1da5-4db7-816a-7a0a8b3e300c
6;virtual Reactive;14119;2023-04-02;Rubber;46009;2023-04-02;Adaptive productize payment;Kazakhstan Berkshire next-generation;49a04a4b-355b-4deb-8cbe-342cdd5e3cc5
7;mobile;94484;2023-04-02;bus Ohio;97018;2023-04-02;Account Engineer calculating;card transmit;c1cefff3-5028-40b2-a749-d87d2d45b57d
8;bandwidth unleash;3600;2023-04-02;AGP;95909;2023-04-02;SMTP Fantastic open;North Orchestrator payment;37f65406-ce7d-4231-ae3e-a5eb3734276c
9;PNG capability Massachusetts;46231;2023-04-03;of navigate plum;75008;2023-04-02;Sharable;synthesizing virtual Oregon;2b72bdfc-d7ee-471c-9094-ba5412d6d28c
10;deposit;73820;2023-04-02;Future Assimilated;11333;2023-04-03;Functionality Technician;Bike FTP;4effee42-c273-439c-a33e-f062b3df1048
