id;hld_rason_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;54152;generate calculating unleash;Account Business-focused;Rubber fault-tolerant;2023-04-03;defect
2;6585;Dakota;Granite Associate black;Assurance;2023-04-02;Soft Auto
3;6206;Granite Associate SDD;auxiliary digital Micronesia;iterate;2023-04-03;Grove
4;37643;payment Islands;Group mint Integration;Re-contextualized Steel;2023-04-02;TCP
5;75792;mobile schemas;Director;transform;2023-04-03;Connecticut
6;6702;mobile GB;Generic Synchronised;Barbados Federation capability;2023-04-02;Tactics
7;61349;Consultant microchip;extend infrastructures;Republic Buckinghamshire Missouri;2023-04-03;bricks-and-clicks B2B
8;38532;Tunnel Facilitator analyzer;synthesize Mobility protocol;Cheese facilitate;2023-04-02;state
9;37290;Krona indexing;Berkshire;bluetooth;2023-04-03;transparent
10;14402;navigating Avon;Chair;Incredible purple;2023-04-03;payment
