patient_document_so_map_id;patient_id;patient_id_no;patient_document_id;patient_document_no;so_id;so_no;uploaded_by_id;uploaded_by_name;uploaded_date;status;patient_document_so_map_uuid
1;77709;Facilitator;29598;online analyzing Configuration;2370;Ecuador Orchestrator gold;92471;Sleek Synergistic Tennessee;2023-07-12;website;7822ed6b-3b1b-4b9d-b7e6-02e00d4d4577
2;37445;Plastic index time-frame;80110;Reverse-engineered FTP Qatar;87812;compress;17303;Wooden Cambridgeshire Incredible;2023-07-12;framework;8585520a-07ae-4d71-8926-44acc6bcdb0b
3;53655;Executive Account optical;69598;Fresh Enterprise-wide;79164;Hawaii Lari;94939;Andorra Loan;2023-07-12;override Gloves;94b45aa7-e8c6-4432-88e2-e5cc0255feb7
4;46246;Litas;41744;Fresh users tan;63619;Security District Cambridgeshire;91441;plum Account implementation;2023-07-13;magenta;ed5c18df-e065-4a7d-a47f-a7b0ae2ad389
5;73509;Towels;1146;Future-proofed Regional;2748;Centralized;42726;Jamaican wireless;2023-07-12;Accountability;dc19f01e-acf4-4eed-b3b5-440887acfa7d
6;63202;Granite;4895;Communications Directives Arizona;90262;Forge customized reboot;64331;back-end Unbranded;2023-07-12;Baht Crescent;eeff5e02-2c9d-40c8-b4f1-5633c446ff36
7;26883;black Tasty;76393;calculate Grocery;9086;Home Oklahoma deposit;19802;project Cambridgeshire;2023-07-13;Fresh metrics USB;1b9d2db9-f511-4a18-a138-db9947f61ecf
8;77563;Maine Investment;51022;Legacy Springs encryption;56695;navigate;52364;Cedi matrix e-markets;2023-07-12;Factors Awesome base;ea589e5d-3034-4921-a891-55e5445f05a2
9;26196;Designer human-resource;55167;Future-proofed killer;83489;Canyon Money;36432;benchmark;2023-07-13;Electronics Tokelau;05e8f20c-902d-410c-83d9-e6fd82f36f64
10;99347;plum Corner primary;15736;initiatives Account;28572;EXE navigating;27165;system;2023-07-13;Movies Coordinator Cheese;8b0a2904-1346-4df3-9f5b-71de2bcc0833
