wip_status_id;wip_status_name;task_id;task_name;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;wip_status_master_uuid
1;Ergonomic Rubber;36989;overriding bluetooth convergence;Mountain;56169;Concrete;2023-05-10;47193;regional indexing;2023-05-09;8d36315d-b59f-4579-947d-6d86838f732b
2;bi-directional Garden Cambridgeshire;9913;e-markets global;Specialist copying;44892;invoice;2023-05-10;84494;Courts;2023-05-10;bebfa72a-84a7-4abd-847b-283bbf096fae
3;cross-platform Loan productivity;48647;Concrete;turquoise calculating;37703;Shoes back;2023-05-10;85007;microchip Concrete Shirt;2023-05-10;b96a9792-b473-4042-88c8-6f7c7a5c9a74
4;pixel yellow;99485;JBOD;B2B;31620;enterprise;2023-05-10;23674;Account PCI Cambridgeshire;2023-05-10;bd89f240-e580-4095-90c6-97892fb36f46
5;Rwanda Kids;92009;1080p;Pound;15523;Sleek PNG magenta;2023-05-09;81079;vortals;2023-05-10;b255c0aa-c2e1-4549-bbf1-3b3a5ac1978e
6;Pa'anga;14764;Gourde Integration;Dakota District JSON;81257;Hawaii users East;2023-05-09;8062;Lead Cambridgeshire methodologies;2023-05-10;92c07eac-956f-492a-a64b-2f99ed39828b
7;Licensed systems;7934;Paradigm;wireless;55156;Hill payment workforce;2023-05-10;43953;Berkshire compressing;2023-05-09;b0bed069-78d0-4d89-ab0e-4bc121e5b69f
8;parse;62735;FTP;Dobra 1080p Drive;92851;online;2023-05-09;5744;bypassing withdrawal;2023-05-09;f671024f-d45b-4be3-aef1-0ac3dacd6e6a
9;Adaptive networks Awesome;18866;Intelligent Somalia transmitting;Dollar azure SMS;72025;Baby Auto Light;2023-05-10;56263;next-generation moratorium;2023-05-10;9977b25d-2481-4c8b-a262-468898eba558
10;generation transmit Montana;49073;bricks-and-clicks;Brand;650;cyan Computers Automotive;2023-05-10;1661;Soft Customer;2023-05-09;4c85e239-50ab-430c-870c-c732cc886970
