id;po_itm_recived_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;52598;Future Nebraska policy;deposit optical Pants;CSS online;2023-04-11;parse
2;16918;Brand;Frozen;channels Wooden deliver;2023-04-10;modular Computer
3;69470;Global communities;Berkshire;Handcrafted bypass Dollar;2023-04-10;Borders Missouri projection
4;24485;indexing Baby;Card Grove;state;2023-04-10;overriding system Cambridgeshire
5;68715;schemas Distributed Oklahoma;Administrator Account Avon;Bedfordshire Cotton multi-tasking;2023-04-11;River Assistant demand-driven
6;85448;out-of-the-box;program;ROI models paradigms;2023-04-11;Electronics
7;37550;transparent Markets;Communications invoice Handcrafted;flexibility Inlet data-warehouse;2023-04-10;Metal Frozen ubiquitous
8;63744;implementation;virtual payment upward-trending;applications harness Games;2023-04-10;Forge Rwanda Tools
9;71292;Outdoors;California Awesome HDD;Plastic salmon;2023-04-10;blue Dynamic open-source
10;4885;Passage;connecting Incredible scalable;Car ADP;2023-04-10;panel
