hold_reason_id;hold_reason_name;created_by_id;created_date;status;updated_by_id;updated_date;created_by_name;updated_by_name;hold_reason_master_uuid
1;Research;77747;2023-04-02;Mauritania matrix;80979;2023-04-03;virtual;Malawi;2abfae57-8854-425f-9139-dd524fd38549
2;supply-chains Crescent Customizable;67555;2023-04-03;Berkshire generating;18578;2023-04-02;JSON Naira emulation;Optimization indexing;72ddeb2d-2ff7-4c2d-80d7-0d6b421d28ce
3;maroon Movies bypass;56202;2023-04-03;grey program;33275;2023-04-02;Hat THX;Innovative Tonga;4a77dee8-d440-49e0-95f8-d6d8c6637629
4;Tunisian Unbranded;74517;2023-04-02;calculating recontextualize;13081;2023-04-02;alarm;programming EXE Infrastructure;41a2df4b-54ea-412b-aa07-d5e42ba194a3
5;Solutions;29682;2023-04-03;technologies Mexico;36676;2023-04-02;Garden York Re-contextualized;Automotive Senior;725042a8-1176-4905-98f0-d565f4efd1a6
6;Architect;66858;2023-04-03;Soap Games;47045;2023-04-03;Chicken;Table 24/7;5c34b4d6-681b-47f0-9995-9ca1e89fde77
7;Kyrgyz Ergonomic Dynamic;39616;2023-04-02;viral applications fuchsia;71875;2023-04-02;standardization Global;interactive Agent Vision-oriented;f2ba7e71-e6e1-4c77-b589-465a0463f190
8;Borders Executive San;86024;2023-04-03;cyan Unit;45061;2023-04-02;Incredible;Rubber SMS Estates;58e8d5de-9347-4340-8ed8-b892e8c8e743
9;Bedfordshire Metal States;8501;2023-04-03;ROI IB;20273;2023-04-02;withdrawal;hack;10071dbe-3f5b-4abf-96bc-65e5edc78b6f
10;Tuvalu;57473;2023-04-03;Concrete synthesize compress;22258;2023-04-03;indigo foreground cross-media;mint;fc7494f8-5cee-4c12-99ee-f7923412f8e1
