hcpcs_doctype_id;hcpcs_code;document_id;document_name;document_file_path;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;hcpcs_doc_type_uuid;file_type;form_name
1;Books;67710;Kentucky SQL technologies;panel grey Handmade;back-end Macao composite;43442;Unbranded circuit;2023-04-27;89203;Borders Orchestrator;2023-04-27;b8df42db-7b5f-48f8-b1a7-fd97b6a8f412;green Intranet Hawaii;index optimize
2;Station;62305;parsing Regional Account;Licensed Rubber;quantifying;68382;Mountains protocol;2023-04-27;84552;navigating;2023-04-26;f1d2035b-40ec-4db7-bf0a-ed0868f43614;capacitor Books;Sausages bypassing
3;SDR;25143;Chicken embrace;Metal matrix;copying data-warehouse;59743;Bedfordshire;2023-04-27;20073;synergies;2023-04-27;c069f87a-22b1-4850-acde-43294b2875ab;Facilitator Account Movies;Handmade
4;synthesizing;15256;Plastic COM;Marketing;EXE bandwidth;1827;Liaison Shoes;2023-04-27;20658;innovate Swaziland;2023-04-27;a2f61127-8e2f-4fc6-b831-faffb96029b0;feed;Ergonomic
5;invoice Chief;99529;Account asymmetric;rich Refined tan;Account Kids;77002;optimal Electronics Auto;2023-04-27;83486;engine;2023-04-26;687d969b-a70b-426e-8043-b6b322b760e5;deposit;Sharable compress
6;Brand;9890;Re-engineered paradigms;Division Cambridgeshire;Avon;27729;programming;2023-04-26;19339;groupware Keyboard group;2023-04-27;17b7e1e8-ffa9-4b6b-9bdf-cd2f40c0379c;Iowa haptic brand;Kuwaiti
7;Cotton Forward;23006;Regional lavender Tools;Profound Implementation;Re-contextualized Unbranded turn-key;97139;Intelligent Horizontal leverage;2023-04-27;19540;task-force Hat;2023-04-26;006fdbaa-ac26-456f-9e52-d0a1f17f26d5;deposit;Global quantify Product
8;Franc Small;741;coherent Shirt;Bosnia JBOD;Bedfordshire needs-based Chips;75757;Multi-layered grid-enabled online;2023-04-27;26200;deploy payment;2023-04-26;d240f0ad-d35e-4ecd-a70c-45910b4f89ef;orchestration;Manager
9;quantify;83476;parse virtual International;Supervisor;Rustic New;30157;Borders online;2023-04-26;52860;Savings;2023-04-26;38719ca3-375f-466a-841b-d7494f63f79a;supply-chains;Ergonomic
10;HTTP deposit orange;27052;Liaison intangible;1080p Account;back-end innovative;13302;Operations Buckinghamshire Ball;2023-04-26;26474;Grocery;2023-04-27;1844b827-83a7-444e-ad9d-bdb62dac94f1;system withdrawal bluetooth;Michigan
