id;stck_adjstent_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;23539;Lempira;SMS;portal;2023-04-10;Legacy Arabia dynamic
2;6658;Unit Personal;(E.M.U.-6) navigate directional;invoice;2023-04-10;monitor
3;24295;drive Carolina;Credit payment;Montenegro;2023-04-10;web-readiness panel
4;95421;networks;index;Gorgeous;2023-04-10;calculate
5;74762;Card and Ball;Account;architectures;2023-04-10;Awesome programming
6;78223;Ergonomic;Passage Comoros Electronics;Account Small Account;2023-04-11;virtual core success
7;95516;withdrawal Seychelles 1080p;extend;Licensed Yen streamline;2023-04-11;Loan Krone
8;76185;Bacon;Computers;Computer Shirt;2023-04-11;Account
9;81226;JSON Dynamic Cotton;Chicken Cotton capacitor;even-keeled red drive;2023-04-10;Identity disintermediate models
10;91379;regional morph;reboot International navigate;Cotton;2023-04-10;engage Fiji
