id;tsk_rason_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;99659;Soap yellow;Chips Checking;programming;2023-04-03;invoice
2;21313;Cotton Jamaican Tennessee;Research;Kids online navigate;2023-04-03;Reduced Open-source
3;18974;Solutions Buckinghamshire Team-oriented;Beauty Nevada;Customer;2023-04-03;eco-centric paradigms
4;33947;Pants Buckinghamshire;Home copying Designer;Savings Small Cotton;2023-04-02;AGP Soft National
5;77534;gold USB;ADP Frozen Lilangeni;Customer-focused niches;2023-04-02;Tasty
6;1935;customized generating;Wooden Grove SQL;Shoes Specialist;2023-04-02;deposit
7;97436;Tuna;plum Soft Associate;Intelligent deposit multi-byte;2023-04-03;compressing Awesome Avon
8;49864;Loan Inverse Market;Shoals;Devolved Future Jordanian;2023-04-02;attitude International bifurcated
9;44121;Gloves Circles Franc;Public-key;deposit;2023-04-03;auxiliary
10;68021;Frozen disintermediate;indexing Vision-oriented Avon;Fresh Walk cross-platform;2023-04-02;world-class Plain
