coverage_criteria_file_map_id;checklist_id;checklist_name;document_reference_id;document_reference_name;file_name;status;created_date;created_by_id;created_by_name;updated_date;updated_by_id;updated_by_name;coverage_criteria_file_map_uuid;file_reference;coverage_criteria_notes;so_id;item_group_id;item_group_name;coverage_criteria_id
1;79652;Advanced;68568;reboot Sausages;back-end Streamlined Loan;navigating Metal Hills;2023-10-31;83526;Home Coordinator;2023-10-31;84645;Ball Garden Card;82f117cf-67c9-4fbb-abec-36a7bb64d6b2;Stream Exclusive;invoice India e-markets;49918;35515;Colorado Ranch;65603
2;1734;port encompassing;68654;cyan real-time Branding;Visionary;intermediate Concrete Loan;2023-10-31;44647;green Intelligent;2023-11-01;16441;Assistant;70a073ef-bbaa-4a4e-bc17-b70e57210251;Savings Fish Intelligent;Course world-class;84010;38728;pixel Rustic SDD;47317
3;28178;Plains Books;55053;payment;FTP Handmade input;architecture XSS;2023-11-01;72231;deposit Plastic;2023-11-01;186;Tasty;4d3c7e89-89b3-40d0-9cd2-bf78005ffa2c;Cotton Solomon;Open-source Frozen Associate;94958;30328;Rubber Netherlands Gloves;37828
4;99262;Missouri navigate;71904;encompassing interactive East;Proactive transmit;Niue Zambia withdrawal;2023-10-31;67561;Practical;2023-11-01;86521;Bedfordshire Unbranded;d88ab246-0149-47bf-99b7-2e65b24fecbd;Health Frozen;violet solution;62125;36967;Concrete;32424
5;6945;Cambridgeshire Investment;83992;withdrawal;HTTP Harbor;maroon Account;2023-10-31;29118;Card Club;2023-11-01;71006;quantify Dynamic;de469db9-9bb1-4ebf-915e-cd01360a3f88;Computers;Loan white;9475;69296;neural;12936
6;6127;B2B benchmark;54434;Korea Engineer;Cambridgeshire;Forint back-end;2023-11-01;61662;Internal white;2023-10-31;36683;Cross-group;959ee9b2-e292-47d1-af99-90ad79b5437b;Assistant Sleek;algorithm Kansas;20940;48053;Shores;47312
7;82606;transmitting Central;53598;payment Bedfordshire redefine;cohesive revolutionize Checking;transmitter;2023-11-01;27328;Assurance Pants;2023-10-31;6115;Streamlined;2d6a1fcf-3566-4822-9729-e633e949c9eb;action-items real-time multi-tasking;User-centric;41592;15451;Iceland invoice Dam;84613
8;1810;compress invoice;81794;auxiliary virtual;Markets;Austria;2023-10-31;98770;Monitored synergies;2023-11-01;40647;Vista;7c59b4df-68cd-42f2-9167-106f8c1a48a4;B2C navigate Ameliorated;Senior;29411;13348;reserved wireless green;9548
9;6993;Product engage payment;83102;Checking;Brook Cambridgeshire cutting-edge;Investor Concrete;2023-10-31;38477;Awesome teal;2023-10-31;47505;integrated Customer plug-and-play;7b809af4-72f6-456a-9890-4743788be574;Profit-focused connecting;Dakota Division;55738;95776;indexing Rubber;6482
10;46178;matrix;37852;deposit Rubber;orange Chair;Lari;2023-10-31;46368;Handcrafted framework Macao;2023-10-31;37730;Salad Gloves Bolivar;af7c9d79-8a34-47d2-bfb6-bc5188f2363b;Soft optical;Buckinghamshire Hryvnia;75029;51143;Account;20693
