id;wp_sttus_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;46280;Fantastic Buckinghamshire;Account;Engineer Reduced generating;2023-04-02;Shoes
2;53297;Solomon Hawaii tangible;Loan withdrawal architect;Producer Borders;2023-04-03;Vista Avon Accounts
3;14004;orchid Island withdrawal;USB;recontextualize pixel Balanced;2023-04-02;AGP
4;57257;Refined SMTP Human;innovate Plastic;matrix Generic channels;2023-04-02;bypass Beauty Fresh
5;80096;Tasty withdrawal;Human Keyboard disintermediate;cyan visualize;2023-04-03;Leu
6;7168;Extension Horizontal;Orchestrator;Technician;2023-04-03;Lilangeni Factors bluetooth
7;15675;Nauru Shoals;metrics;Buckinghamshire;2023-04-02;B2C Orchestrator synthesize
8;31029;approach plum;Avon Phased;Tasty override Swaziland;2023-04-02;bus District Account
9;13323;set transform;RAM Chicken;multi-byte;2023-04-03;Cotton
10;56943;Jewelery Future enable;sensor deposit Fields;bypass heuristic;2023-04-02;Inlet Tasty synthesizing
