invce_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by;id
1;Cotton interfaces eyeballs;Sleek turquoise Industrial;deposit;2022-12-12;disintermediate;58740
2;Intelligent digital;Florida;revolutionize Soap;2022-12-13;Upgradable Auto Program;53608
3;silver;red leverage;Total Branding;2022-12-13;Manor Vietnam Intranet;77203
4;Beauty Facilitator;Intranet integrate;Web eyeballs;2022-12-12;Dollar Soft envisioneer;50135
5;Turkey Marketing;Group Indiana;Movies Argentina;2022-12-13;Plaza;14072
6;Dakota copy;Groves content Accountability;Rupee Table;2022-12-12;grey parse Home;88638
7;ivory SAS innovative;customized invoice Shoes;olive Grass-roots help-desk;2022-12-12;transmitter turquoise Square;94801
8;panel Investor;deposit 4th Peso;Regional Birr Representative;2022-12-12;Grocery Yemen Market;28632
9;Computer Agent;Won;Tasty connect;2022-12-12;Profound Plastic open-source;74001
10;web-readiness Convertible Garden;Car Loop Computers;Market Corporate Ameliorated;2022-12-13;array ivory up;92603
