id;sals_ord_insrance_details_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;39784;didactic Outdoors Rustic;Fresh vortals client-server;Chicken IB invoice;2022-12-12;haptic (E.M.U.-6) B2C
2;88753;Markets;Rubber Michigan turquoise;circuit;2022-12-12;Metal invoice
3;62921;Fish;interface;Creative array;2022-12-13;software integrated
4;3278;virtual;streamline Chair;modular challenge wireless;2022-12-13;Honduras Liaison Plain
5;46256;Concrete Stand-alone Lithuania;zero Distributed;conglomeration;2022-12-12;protocol up
6;7650;wireless;Glen relationships Architect;Gloves HTTP up;2022-12-12;Cotton redundant firewall
7;82342;Cambridgeshire Representative;transform implement;world-class;2022-12-12;human-resource driver Open-architected
8;87984;Account solutions Bacon;primary Dinar Central;Interactions Vanuatu;2022-12-12;Freeway COM Movies
9;1524;Awesome;Account;Kingdom;2022-12-12;mint Pizza Toys
10;96942;Strategist mission-critical;system Account;Monaco orange Money;2022-12-12;Concrete
