id;item_invtory_staus_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;12112;client-driven implement enterprise;Licensed toolset;web-readiness;2023-04-11;circuit
2;22739;SAS Bond;Creative Division payment;Soap;2023-04-10;Ball Metrics
3;75230;JBOD SMS;Account;Optimized Planner;2023-04-11;platforms SCSI
4;61909;exploit markets;Tonga invoice PNG;quantify Vermont relationships;2023-04-10;Silver
5;8437;Salad sticky;Maryland Montserrat Borders;Fantastic SAS pink;2023-04-11;holistic Assistant hour
6;21896;back;scalable Computers Spurs;Intelligent Shoes Kids;2023-04-11;input Switchable Brand
7;4985;Clothing;extensible actuating SSL;Texas;2023-04-11;Toys bandwidth
8;92228;Buckinghamshire distributed;Communications Pizza deposit;Oklahoma Divide Savings;2023-04-10;Argentina Supervisor Escudo
9;14934;compelling;innovative Handmade;olive Avon COM;2023-04-11;Unbranded Borders
10;88357;Washington Sleek green;SMS Mountains;Small;2023-04-11;impactful benchmark state
