id;sals_odr_clincal_detils_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;66929;India;multi-byte;Fresh Expressway;2022-12-12;Frozen Hampshire Shoes
2;57734;Unbranded Chicken Internal;Solutions Wooden Tasty;ivory program;2022-12-12;Louisiana Account Illinois
3;20560;panel FTP deposit;Shirt data-warehouse Tasty;green transmitting payment;2022-12-12;Gibraltar
4;1889;virtual Rustic;Shoes alarm withdrawal;Islands Triple-buffered;2022-12-12;Steel
5;47808;Dynamic 1080p Concrete;Specialist;Paradigm;2022-12-12;Dollar Cotton generating
6;49998;next Rustic;Handcrafted compressing;Intelligent Underpass;2022-12-12;York Bedfordshire
7;28680;Unbranded Dinar;Rubber;Investor Global panel;2022-12-13;Soap multi-byte Ergonomic
8;66778;payment ivory hard;withdrawal Licensed Baby;Parkways transmitter e-business;2022-12-12;Generic services Awesome
9;50217;Sleek;PNG Rican;Toys Sleek;2022-12-12;Cambridgeshire Frozen
10;58635;cross-platform;Haven Republic Pennsylvania;withdrawal Engineer Team-oriented;2022-12-12;Rial USB
