id;prce_tble_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;56696;program;Manager Quality-focused;Lek Car;2023-04-10;Account
2;43295;withdrawal Plastic programming;SMTP array;solid technologies Optional;2023-04-11;disintermediate Senegal
3;70822;Chair Drive open-source;Berkshire parallelism;calculate panel protocol;2023-04-11;Personal
4;81313;Vermont;eyeballs;violet HTTP;2023-04-11;Wooden
5;1706;Kiribati seize;Movies;Nebraska Cuban;2023-04-10;Granite Ergonomic Salad
6;55783;Incredible turn-key;bus;Bike impactful Producer;2023-04-10;generate Technician Frozen
7;59600;Books;deposit Programmable;Internal world-class Realigned;2023-04-11;Associate bypassing
8;9367;compressing action-items;Handcrafted virtual Islands;Soft Ergonomic;2023-04-10;Avon yellow primary
9;89871;Shoes Rustic withdrawal;Baby Consultant;Texas Games;2023-04-11;Savings Accounts
10;75593;capacitor Central deposit;CSS Steel;olive deposit invoice;2023-04-10;Paradigm index
