note_type_id;note_type_name;created_by_id;created_date;status;updated_by_id;updated_date;created_by_name;updated_by_name;note_type_master_uuid
1;wireless;85541;2023-04-02;website;96640;2023-04-03;Guinea Administrator communities;program Lead withdrawal;9d51f92a-aef8-43d6-970c-fc27d2f02569
2;Ohio matrix;33975;2023-04-02;Investor;30037;2023-04-03;Account Administrator;Alabama Market;37d853c0-25bf-4778-a544-32a74bfd8d56
3;quantifying azure program;48923;2023-04-02;Account;98446;2023-04-02;silver index;Handcrafted innovative;7de2e06a-4726-4661-a730-f01ef88fd16a
4;Oklahoma responsive;52618;2023-04-02;Executive Savings engage;11971;2023-04-03;Refined;Planner Metal Mountain;9f80fbb0-1369-4581-a1a9-d7aac053d480
5;relationships back-end payment;42516;2023-04-02;invoice;89906;2023-04-03;generate optimize;SSL Loan;3fb798b9-f213-4719-a4f5-1e61e711fd40
6;Intelligent Direct;18924;2023-04-02;Steel Small;42019;2023-04-02;Managed Cloned;Nauru Soft Cotton;2cc4d5b4-ae54-454b-a753-f0b2e601107f
7;Hawaii Frozen Grass-roots;43237;2023-04-03;facilitate Internal Human;3372;2023-04-02;matrix;Egyptian plum Industrial;b658d3cd-4e95-45b1-9bd4-206c97d1ec4d
8;unleash;7451;2023-04-02;JBOD SDD asymmetric;54695;2023-04-02;Via Rial;24/7 Secured;fc9633cd-86eb-4f1a-98ac-e21dced48208
9;Delaware withdrawal;48778;2023-04-02;Congolese Card overriding;37066;2023-04-03;Rubber;Dollar drive;f5b4e296-78f8-432a-bc53-74f756b9f5d6
10;Hills Minnesota;56687;2023-04-02;Small New;27907;2023-04-02;compelling Assurance;hacking;a0ea0efb-f4e9-41ae-a5f0-67e6594e011d
