id;tx_zne_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;40619;Director Tanzania;Hollow Awesome pixel;Factors;2023-04-02;vertical Quality Camp
2;24276;bandwidth neural Islands;generate bluetooth;Web;2023-04-03;copying back invoice
3;60435;benchmark Uganda bandwidth;Front-line;Kuwait experiences encoding;2023-04-02;plum
4;60685;unleash;Garden THX Paradigm;Assurance;2023-04-02;aggregate Functionality Sweden
5;28626;Frozen ubiquitous Beauty;drive lime Wooden;Persevering;2023-04-02;Fantastic PNG Account
6;1837;Arizona transmitting Music;Response systematic;Assurance Steel;2023-04-03;utilisation Vanuatu
7;52320;efficient Lilangeni;auxiliary Ohio;Handmade Qatar Account;2023-04-03;Compatible CFP
8;60021;Soft generating Switchable;Personal;deposit program;2023-04-03;Music Unions Global
9;5328;matrix modular Frozen;Gateway Views;Pennsylvania Dakota Plastic;2023-04-02;Gloves Account
10;92355;enhance Tools;Fantastic Program systems;Car Avon Garden;2023-04-02;Loan
