id;brnch_grp_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;65110;Unbranded Object-based Carolina;e-markets protocol;Shoals Cheese;2023-04-02;Architect repurpose deposit
2;22249;panel Belize;haptic Credit;calculating;2023-04-02;Baby Awesome quantifying
3;10974;Manager Kids back;wireless rich responsive;definition;2023-04-03;envisioneer
4;97817;Islands, Soft;Bedfordshire;Dakota;2023-04-03;Assurance
5;42305;Gorgeous ubiquitous;Unbranded;pricing calculate;2023-04-02;Customizable
6;49765;Small driver Berkshire;microchip;pixel User-centric Account;2023-04-03;port Customer
7;20665;Tuna;Account e-services Gourde;SAS synthesize;2023-04-02;Customer Regional Nepalese
8;75396;Accounts Principal IB;EXE service-desk;RSS pink Albania;2023-04-03;Solutions Grocery communities
9;57450;Belarus;Mills;Arabia Division;2023-04-02;Manor Down-sized e-tailers
10;8509;transmitting;back bandwidth;Licensed;2023-04-02;synthesizing Checking Handmade
