id;po_itms_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;16322;Data override Incredible;Licensed Fresh maroon;utilize HTTP;2023-04-11;Chair Accountability Auto
2;30442;open-source Garden Brand;Quality-focused Arkansas;British;2023-04-11;THX 1080p driver
3;16584;feed;streamline;Bhutanese Games capacitor;2023-04-10;Hryvnia
4;46510;Manager Gourde Account;Soft Tools infrastructures;backing Cotton;2023-04-10;synergistic Account
5;38204;Officer navigating withdrawal;Awesome;transmitting;2023-04-10;Pound monetize dot-com
6;35423;Hat Wooden Metrics;Computer;Investor system lavender;2023-04-11;blockchains Liaison bandwidth-monitored
7;79176;back Intranet grow;Small Vermont SQL;Data Bedfordshire;2023-04-10;Brook hack payment
8;66066;Verde Chips;Assistant Auto engineer;San deposit front-end;2023-04-10;Baby withdrawal International
9;56325;Future District hierarchy;Swedish compelling Programmable;Diverse Intranet Nebraska;2023-04-10;deposit FTP
10;96686;background invoice Phased;Coordinator;Supervisor;2023-04-10;alarm Georgia salmon
