uszip_master_id;zip_code;city_name;state_code;state_name;status;uszip_master_uuid
1;17657;Ergonomic lime;fuchsia Grocery;Legacy;implementation;3ddc09ae-9b5c-4fd3-9482-886277e08d66
2;25611;feed;Loan;Quality-focused Clothing Gorgeous;overriding;60309b91-e110-4b01-ab6a-0693e7a66f51
3;38652;Circle;Berkshire Australia;architectures Music Rustic;Metal Branding withdrawal;22d24792-8d61-41a2-a6c9-dd8d447a01cb
4;17356;HTTP uniform visualize;Wooden Massachusetts;white;Wooden programming Plastic;ccfe704f-d1c2-4520-a604-9e0a43d02a33
5;48494;systems Architect;THX;Home;Data;fd6c8ab5-cd42-4d75-a886-9bec392c821a
6;77217;Crossing transmitter azure;Naira Falls;context-sensitive Plains functionalities;quantifying Home 1080p;f2f49bd1-be47-4c95-8a68-6f516d3800c5
7;94636;navigating Georgia;Administrator;quantify;Organic Benin override;9af387de-a097-42bc-9788-3df90c995181
8;81839;model RSS;Buckinghamshire;Borders Quality Vision-oriented;Generic;4bf9ee5c-5106-4417-85eb-e3a57a9a7e6b
9;19737;Fantastic;Ergonomic back-end;database frictionless;Streamlined;836b6c39-015b-4ac7-b8a4-969eadbbe60d
10;74265;front-end platforms Carolina;wireless multi-byte;Fish Optional Rustic;Music Ball;8e82dfd6-045f-4662-bb83-70499c432dca
