task_details_id;task_no;task_id;task_name;task_reason;severity;subject_text;description_text;assigned_to_id;assignment_date;date_needed;date_completed;task_state;deactive_status;object_id;object_name;object_instance_id_no;assign_to_name;object_instance_uuid;wip_status_id;wip_status_name;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;task_details_uuid
1;Bedfordshire;30429;Cambridgeshire 24/7;evolve Triple-buffered;initiatives Kansas Account;Soft;Supervisor Maine Assistant;21281;2023-05-28;2023-05-29;2023-05-29;quantifying;dedicated;59296;definition;e-services Pants Ball;needs-based;45539d15-d996-4e1c-939c-6a994ab35e99;90643;deposit (Slovak Directives;calculating Berkshire web-enabled;34855;Fish deposit Luxembourg;2023-05-29;49982;program Small;2023-05-29;c72cbeab-cc22-4a68-82aa-6c87de437670
2;Auto solution-oriented;2719;Vietnam Upgradable input;structure Bedfordshire;Refined;Account Berkshire;Shilling;27156;2023-05-28;2023-05-28;2023-05-29;Kentucky;cross-platform;1606;fresh-thinking;card Ports metrics;cyan circuit context-sensitive;d792f4e3-f978-471c-9271-d010ca511edf;62743;orange;Technician;43247;Michigan;2023-05-29;48871;systems invoice;2023-05-28;57a8e309-8720-4782-90d0-7e6172d6c8f1
3;Cambridgeshire Future;9757;parallelism;back-end Card;Fresh;California;Facilitator Berkshire Iowa;36001;2023-05-29;2023-05-29;2023-05-28;firmware back-end;payment;30822;invoice Hat;Re-engineered benchmark synthesize;firewall;43cb89b5-f3ca-4bfe-b76f-043eab0e8887;10708;Music Bahamas;iterate B2B Planner;7007;maroon hack intuitive;2023-05-28;5886;teal;2023-05-28;0e088867-6658-4198-98ad-fd1a10e80c2e
4;Incredible quantifying;59034;aggregate Specialist indigo;Georgia Intelligent Central;methodology;payment digital deposit;copying driver online;53727;2023-05-28;2023-05-28;2023-05-29;Pants lavender;Cotton Multi-channelled;90048;invoice overriding Berkshire;Reverse-engineered Officer;Multi-channelled;7dd70f83-324f-4bd0-9e7b-ece9cd76bef4;34898;Mozambique;Islands Books management;30715;compressing Plastic;2023-05-28;53583;auxiliary HTTP;2023-05-28;f1e3d214-67b8-4b30-bbaa-82176e60a711
5;Licensed PCI Quality;60689;Metal Moroccan;content;Home Forward withdrawal;Supervisor;Generic 24/365 Executive;45781;2023-05-28;2023-05-29;2023-05-29;Unbranded;Metal Place Avon;31341;Light compress;Ergonomic system deliverables;solutions;1be5189e-dc13-43cb-bc06-17ccc7cad283;3518;application Buckinghamshire multi-byte;Forward Ohio payment;1288;Neck;2023-05-28;92692;Branding;2023-05-28;806b58c5-edc7-45d6-8fb0-e79ac768ddfd
6;Granite plum;46602;Synergistic bypass;Personal;e-enable deposit Principal;applications structure Arkansas;Pike magnetic Account;43766;2023-05-29;2023-05-28;2023-05-28;Books cutting-edge;disintermediate;60890;Central Ball;Cotton Cambridgeshire compelling;e-business;8050fae2-e725-4eda-82bc-f46626e621eb;91997;transitional relationships Comoro;Cuba;69353;invoice networks circuit;2023-05-28;78228;Senior;2023-05-29;195513ae-1679-450b-8d5a-9acdaf6ee6e7
7;deposit alarm Outdoors;87596;function Steel;UAE;invoice neutral;Bedfordshire red incubate;Frozen Response SMS;54336;2023-05-28;2023-05-28;2023-05-28;Solutions Cambridgeshire Metrics;SMS Concrete SQL;53650;Berkshire hardware driver;Sudanese;reboot Louisiana Internal;7bf46a64-16c1-4c20-8412-be8414c300d9;68355;Grass-roots Kwanza;Directives indexing Falls;2993;Hat Fish Virtual;2023-05-28;47356;Identity implement;2023-05-28;52d1e380-0e05-41f0-a629-9a98480b26cc
8;expedite users withdrawal;98600;Architect Mexico;monetize bypassing;purple back-end best-of-breed;XSS Cliff interactive;Verde SMTP open-source;53996;2023-05-28;2023-05-29;2023-05-28;clicks-and-mortar Configuration engineer;parallelism;48435;sticky;Tuvalu Cotton eyeballs;Kong Associate Gloves;7a344243-d0b3-4fb4-8e8d-46fef72b341b;48527;Dakota;Expanded Lari Mall;4156;object-oriented matrix transmit;2023-05-28;64372;high-level circuit;2023-05-29;b7480395-e45f-4b6a-a221-adaa7dd0ee97
9;Outdoors innovate Identity;18449;1080p groupware;online Multi-tiered;Infrastructure Checking TCP;budgetary Organic;e-commerce mission-critical didactic;26879;2023-05-28;2023-05-29;2023-05-28;benchmark Avon;Rustic expedite;54419;Granite;benchmark Gorgeous;Incredible Toys;ff291c19-daf7-4c44-9acc-c1af0e56e4f7;12615;Towels withdrawal Salad;Home;66875;mobile;2023-05-29;90030;North Facilitator;2023-05-29;cacc7f3e-879c-4bec-a948-556b4528210e
10;deposit payment Granite;22287;Salad;Rustic;Station synthesize Direct;Personal Maine clear-thinking;Bedfordshire Valley;26596;2023-05-28;2023-05-28;2023-05-28;Streamlined HTTP payment;Underpass Frozen bi-directional;75187;Cotton;Mountain revolutionize;New;1fbaf82c-ffbd-46ff-a59f-d9fedb777135;35399;Rubber;line Handcrafted;29237;Lithuania South;2023-05-28;7848;Buckinghamshire Sports;2023-05-28;e3593645-32d4-4808-9ccd-e0161f0ac0e7
