id;itm_vndor_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;20029;synthesizing;functionalities ivory;Future Communications;2023-04-11;programming
2;91712;program generating;unleash frictionless;Guam Washington;2023-04-10;convergence
3;28297;Tasty content;Lights;Chief yellow cyan;2023-04-10;definition
4;39849;Skyway models;Fresh COM;Paradigm Rubber content-based;2023-04-10;full-range
5;86491;Developer Avon Account;supply-chains JBOD Franc;Hungary;2023-04-10;monitor indigo
6;83673;New;strategic Pants;Pakistan;2023-04-10;Card Gloves Rustic
7;19303;Analyst hacking;olive;Steel;2023-04-11;experiences Fiji salmon
8;58455;Pizza;action-items parsing;Shoes Public-key;2023-04-10;invoice
9;298;transform interactive black;Cambridgeshire Lari Salvador;Rubber;2023-04-11;Fresh time-frame program
10;56075;Program;driver backing;Berkshire Aruban;2023-04-10;Avon Argentina
