item_type_id;item_type_name;status;created_by_id;created_date;updated_date;created_by_name;updated_by_name;updated_by_id;item_type_uuid
1;tan Haiti;streamline Brand card;43801;2023-04-10;2023-04-10;Ville;analyzer Computers;3100;cefe3b36-a4f9-4eeb-ae7a-31804959e044
2;niches Run withdrawal;Designer;15068;2023-04-10;2023-04-10;Refined IB;Berkshire panel;90936;024beb69-27a8-4826-8f6f-012ad760e0b7
3;Concrete salmon;Generic RSS;60971;2023-04-10;2023-04-10;program;THX;2934;48de8c69-2a1b-4789-be84-e39dd5a8dbe3
4;heuristic parallelism migration;Industrial Underpass;68961;2023-04-10;2023-04-11;deposit JBOD strategize;GB;67139;28e1f81f-a4cb-4afc-ac52-1487d11b50f2
5;port payment hack;Account;62766;2023-04-10;2023-04-11;Tasty;Market reboot Developer;60770;ea5d6029-9adc-4577-ab9e-186ae6c3addb
6;solution;hack Rubber Bacon;54513;2023-04-11;2023-04-10;paradigm;Intelligent Sausages;62414;cc16b8c8-0943-474d-a632-ff401ce56222
7;Generic Dakota;synergy Honduras Intelligent;5609;2023-04-10;2023-04-10;Tuna Egyptian invoice;Kenya;7523;1b6ce96a-387f-4ea2-8557-63f9b5ddaddd
8;interactive challenge;Intelligent Handcrafted turquoise;16120;2023-04-10;2023-04-10;California;Key value-added Borders;80702;4b84e0c7-d751-4c35-bf80-07b15b414d57
9;Developer Principal Intuitive;Investment;42811;2023-04-10;2023-04-10;Soft;Avon Bedfordshire Garden;54151;866ce1df-b482-4628-9bcb-a6a71da2f7c2
10;program Product programming;function Steel;7126;2023-04-11;2023-04-11;Money AI Account;bandwidth Sausages;44997;7b3b3764-cfad-4d69-a261-61587efbdfff
