chg_health_sconary_submn_mster_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by;id
1;Throughway violet Programmable;frictionless;solid Architect Account;2023-06-02;Germany Dollar demand-driven;85375
2;plug-and-play interface Automotive;International SMS;bypassing Italy Shoes;2023-06-01;Trace;40175
3;Home JBOD Markets;deposit;application Virgin Mobility;2023-06-01;intuitive Money bypassing;66949
4;black Pizza Illinois;supply-chains;Multi-tiered Producer Small;2023-06-02;Operations Virginia;83300
5;Creative;GB;revolutionize virtual Liberian;2023-06-02;Loan Small;94487
6;fuchsia;quantifying;Courts Sleek;2023-06-02;Wooden Account invoice;32235
7;Soap;Mouse;deposit panel calculate;2023-06-02;matrix Mountains Concrete;45121
8;optical;engage SAS cross-media;ADP Antigua Bedfordshire;2023-06-01;Shirt Buckinghamshire;14959
9;Cotton;Central;port transmitter Account;2023-06-02;Outdoors;15651
10;value-added Forks;target Home ADP;index Kentucky;2023-06-02;Portugal neural;72490
