id;order_clafication_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;62784;Solutions parsing;protocol Product;Checking Wyoming;2023-04-02;Bacon
2;84440;Handcrafted;functionalities;Florida Hawaii logistical;2023-04-02;Ergonomic
3;31144;generating Fresh Pizza;Senegal communities Customer;Cambridgeshire access;2023-04-03;pink Grocery Loan
4;97987;SAS;hardware;cutting-edge;2023-04-02;Unbranded
5;85884;Shirt Refined vortals;Awesome;Account;2023-04-02;Credit Wooden Towels
6;5976;user-facing Pants;Web;Research synergize Forward;2023-04-02;AGP hacking Euro
7;5320;cross-media Multi-layered orchid;Gloves Automotive;Director Directives Corporate;2023-04-03;multi-byte parse high-level
8;56520;overriding Principal;Walks;revolutionary distributed;2023-04-02;framework Soap Integrated
9;64040;Frozen panel;Frozen Islands;functionalities Outdoors parsing;2023-04-02;National
10;84418;pricing navigate;connecting Virginia;European Delaware back;2023-04-03;Bedfordshire Pants Accounts
