id;insrnce_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;14159;Buckinghamshire Unbranded;Account 5th e-services;blockchains Fords;2023-04-02;input matrix
2;63775;array Regional;interactive Cliffs;bypassing Hawaii;2023-04-02;maroon
3;90637;Accountability infrastructures;Consultant Oklahoma Technician;Research Steel Surinam;2023-04-02;Grass-roots
4;6893;Arizona;Computers circuit;PCI wireless Car;2023-04-02;enhance bi-directional SDD
5;54611;collaborative Handcrafted action-items;Keyboard;Berkshire card;2023-04-02;Concrete Profit-focused
6;53472;Rubber neural Accounts;Cambridgeshire Tools;Director;2023-04-02;emulation mobile Directives
7;16966;backing;SCSI quantifying Bedfordshire;Avon;2023-04-02;Springs port Maine
8;59679;Handmade Vermont Computer;Tactics override Internal;Account;2023-04-02;efficient
9;21215;Route Towels;payment Future engage;ivory calculating;2023-04-02;Granite Chips collaborative
10;23288;Business-focused;Buckinghamshire;holistic Plastic Rubber;2023-04-03;global withdrawal Chief
