branch_item_location_map_id;branch_id;item_location_id;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;branch_item_location_map_uuid
1;30078;61891;interfaces Regional;42704;card withdrawal Manager;2023-02-27;80671;Markets parsing;2023-02-26;c2446c94-8bdc-48a3-ac61-89a9e0c2bd3c
2;4406;17266;Granite;6325;uniform Metal;2023-02-26;10440;gold Gabon reboot;2023-02-27;67d3da21-a66a-4bed-9ea0-aeffb8ebc233
3;35664;89156;deposit mobile even-keeled;92141;Orchard Assistant;2023-02-26;70113;Parks hub;2023-02-26;7e47169a-9f74-43e1-91b6-546ac7426e0f
4;40991;22828;Forward Avon bluetooth;14301;open-source;2023-02-26;68314;primary Facilitator;2023-02-26;e52333f9-932b-4ab7-8e4a-5c3931d00f18
5;97910;15250;Direct Frozen;85267;Bedfordshire Regional Dynamic;2023-02-26;43935;cross-platform Forward;2023-02-27;54b708cc-2a2e-4e37-a8e2-bf595882c33a
6;47802;84680;Secured;67884;invoice;2023-02-26;20993;e-markets;2023-02-26;5fd409a5-25f3-4520-8d7c-527241acc099
7;39705;31154;intranet Steel Handcrafted;83436;Account;2023-02-27;60561;Integration Tools;2023-02-27;f57390a5-8b6d-4170-9851-1a57272255f5
8;23411;97035;Reverse-engineered;37096;Investor Re-engineered;2023-02-26;24723;Awesome Qatar mesh;2023-02-26;b3347a60-609d-4b48-a6aa-7d2a7629ee06
9;10034;54954;Borders;62212;Fundamental paradigms synthesizing;2023-02-26;50211;CSS;2023-02-26;c5e06556-f365-4878-97db-d33cb3aaf877
10;90389;59133;Industrial;44478;Gloves Specialist;2023-02-27;61576;Andorra Refined;2023-02-27;42f4989e-c87b-431b-9668-ea71e8dd861d
