sales_order_doc_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;Internal web;Fantastic;back-end Stand-alone;2022-12-12;empower integrated fresh-thinking
2;Account Awesome;conglomeration Tuna;web-enabled green;2022-12-13;Paradigm Sleek
3;Pizza Mississippi;transmit Account;Usability Fantastic;2022-12-12;circuit
4;Concrete protocol;Algeria Strategist enterprise;fault-tolerant Consultant Customer;2022-12-13;Books
5;Fantastic;Iowa;Bedfordshire Chips access;2022-12-12;Bedfordshire invoice
6;Soft bus extend;Burgs Frozen Unbranded;Rubber;2022-12-12;THX Dollar
7;Niger Loan Senior;database;feed Pound;2022-12-12;Configuration
8;Kwacha hard;Baby;Wooden;2022-12-12;SMTP
9;Tactics;Hat;foreground Frozen;2022-12-13;Quality generate Mississippi
10;success Generic Handmade;Implementation Orchestrator Concrete;black Account Creative;2022-12-12;Adaptive SMS
