branch_insurance_map_id;branch_id;branch_name;insurance_id;insurance_name;insurance_id_no;insurance_state_name;price_table_id;price_table_name;branch_npi;branch_ptan;esubmitter_payor_id;branch_taxonomy_code;billing_provider_override_company_name;billing_provider_override_tax_id_ein;billing_provider_override_address_line_1;billing_provider_override_address_line_2;billing_provider_override_city;billing_provider_override_state;billing_provider_override_zip;billing_provider_override_contact_1;billing_provider_override_contact_2;billing_provider_override_fax;billing_provider_override_email;pay_to_provider_company_name;pay_to_provider_tax_id_ein;pay_to_provider_address_line_1;pay_to_provider_address_line_2;pay_to_provider_city;pay_to_provider_state;pay_to_provider_zip;pay_to_provider_contact_1;pay_to_provider_contact_2;pay_to_provider_fax;pay_to_provider_email;submitter_name;submitter_contact_1;submitter_contact_2;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;branch_insurance_map_uuid
1;32548;Carolina Books Engineer;66537;Granite groupware Lats;RSS multi-state metrics;JSON Shirt;51327;Refined transparent;Nakfa Account;cultivate Account;Industrial;Gorgeous Shirt Wyoming;JSON;GB B2B;granular;FTP;invoice;Vision-oriented Music;HDD;Group Azerbaijan Universal;Executive deposit Account;Kwacha;Dynamic bifurcated;Gloves;solid;Licensed Front-line;Tunnel Fresh Palestinian;Handmade;invoice upward-trending Small;Graphic synthesize Strategist;Soft Fresh auxiliary;Lodge;Wooden capacitor Account;Clothing;drive leading Advanced;Intelligent;deposit;asymmetric Bedfordshire Principal;52836;Investor;2023-02-20;19492;Pizza Awesome microchip;2023-02-20;e450eb00-3c0c-44ee-93b9-4b4c69cac7cb
2;14395;cultivate Tactics;34214;Central Incredible Shirt;Dynamic Awesome Bosnia;blue;94109;hard Self-enabling exuding;Guilder world-class quantify;Market AGP Tajikistan;supply-chains Director Director;leverage card;Cambridgeshire override Mississippi;Advanced portals Marino;hacking area Chief;Knolls;background Pre-emptive Chair;Alabama feed;Cheese HTTP;Future deposit;concept compress Plastic;compress;Soap;Chief;application deposit;Missouri;cyan Wooden Response;Granite solutions cyan;Car Cotton SSL;integrated protocol;Integrated Turkmenistan;wireless radical;didactic transitional copying;facilitate Kazakhstan Fully-configurable;program navigating Guyana;North models;markets Cheese purple;Accounts PNG Fish;40424;Berkshire;2023-02-20;23251;Dynamic;2023-02-20;1c9c7a97-cabd-41d2-92f1-1e7cba4236e2
3;83994;capacitor Accountability Arkansas;78975;encoding infrastructures;Engineer Strategist;Regional;42141;Movies Panama Curve;Response radical;pixel Islands;Account Soap;Supervisor;sensor Refined auxiliary;Taka generating;payment alarm;Table navigating;Account Direct;port compressing;Tasty;state;Customer Plastic Books;Movies Frozen;Computer;indexing;Concrete e-tailers;experiences;Kids;Books Soft;Table;Assistant customized Lead;services dedicated Strategist;Kids;cultivate pink;Rubber;6th;Monitored Avon Awesome;Dynamic Shirt Tools;River;36757;matrices Borders system;2023-02-20;7830;concept Licensed;2023-02-20;3cdc3f69-6517-4048-ba2a-94306bd89dd3
4;73585;PNG;60413;Beauty;throughput Utah monetize;Multi-channelled;76562;online Functionality;bypass Berkshire;Algerian Investment;Infrastructure Intelligent;Architect Hat;Borders;Car;copying definition Monitored;Pants Cotton connecting;matrix;payment;program;Loan Chips;Qatar;Investment;Station Sausages e-services;Michigan;maroon paradigms;Renminbi Krona upward-trending;Factors Incredible Associate;Bedfordshire markets;Home;backing wireless;lavender Home;Stand-alone Avon Sleek;B2B;Right-sized teal;purple grow;encryption solution Barbados;Tennessee Global;Health Table Quality;66237;systems bypass;2023-02-20;68502;overriding;2023-02-20;35587feb-446a-4d89-962a-60e7e1b316d2
5;22765;Hong;59058;Cambridgeshire;eco-centric Representative Unbranded;Steel Granite Car;7291;Square Facilitator Unbranded;Rustic;invoice Ouguiya Fantastic;Rupee Dominican synthesize;Shoes;alarm schemas;Oro;Customer Credit transparent;Ergonomic Computers;Pizza Representative Dinar;Hryvnia;program Fuerte silver;synthesizing directional;ubiquitous;Steel payment cross-platform;Borders seize;Consultant;Franc Bacon virtual;holistic hack;vortals;Massachusetts;Principal Phased Baby;Analyst Berkshire;Pants Infrastructure SSL;standardization capability Peso;matrix Metal payment;orchestrate;Investment Dakota Balboa;leading-edge;Avon;withdrawal;96158;virtual enterprise;2023-02-21;51917;Practical Manager Trafficway;2023-02-20;174d7a40-2e8c-4d0c-a5a9-cbc62fb8a87a
6;19546;Island back-end compress;93314;multi-byte initiatives;Toys scale Executive;Customer Center;44432;firewall;Loan Tanzania;1080p;United Automated;bandwidth bandwidth;executive Baby Producer;Architect vortals target;Fresh bluetooth Customer;Right-sized Hawaii;client-driven;Metal Cape;Berkshire;algorithm local;Handmade;teal array impactful;human-resource;Supervisor Awesome Berkshire;Agent virtual program;Tenge calculating;holistic;Awesome Seamless;indexing bandwidth hacking;hacking matrix South;Specialist;Implementation mission-critical;Markets Generic;quantify Tasty Table;Bacon Account Facilitator;Myanmar Soft Account;Versatile;redefine Programmable Drive;47227;matrix Intelligent Strategist;2023-02-21;32716;Zimbabwe;2023-02-20;06dcdebf-cab3-43bc-8e59-0ffdd03388fe
7;71082;Missouri partnerships Mouse;5179;Account architecture Table;solutions;portal;91909;SDD Corporate Liaison;Soap Shoes Islands;Program;transmitter;Islands PCI;Personal pixel;deposit methodical;deliverables;incubate;web-enabled payment Bouvet;Afghanistan Oklahoma;Outdoors Rue;Specialist virtual Generic;Guam Cotton fault-tolerant;Borders Global Falls;Computers invoice;integrate;Fields invoice primary;deliverables copying;wireless JSON;Squares blue;architectures;Checking navigate Total;Keyboard ADP;transmit communities Function-based;Shoes implement Organic;migration parse;actuating Function-based;open-source;Checking;SSL ivory plug-and-play;37575;ROI Guarani;2023-02-20;39155;override;2023-02-20;f557bf55-ca01-4944-9ab1-80404b389678
8;77147;loyalty Harbor SDD;54096;models Internal;Borders Extended;wireless Refined portal;77836;Pizza Bedfordshire;Corporate;deposit green;Car;hack;global;Configuration;optical Tactics;circuit Ecuador;Sleek Dollar Optimization;interface e-tailers needs-based;Account well-modulated;synthesize Cambridgeshire;microchip pink Communications;FTP Gourde infrastructures;Cambridgeshire Consultant backing;networks Reduced target;primary Kentucky Operations;Real Alaska;Intuitive;intangible interactive;Bedfordshire Architect Lebanese;systems;withdrawal Plastic;bus Branding Massachusetts;Generic;hard;Sports Plain;Account Shoes;Facilitator Account calculating;Investor;35901;azure bus copying;2023-02-21;76936;THX turn-key;2023-02-20;c8213ca3-d3e2-41ea-b69b-e13699179340
9;29500;of copy;79301;Bedfordshire Senior;Handmade calculating blockchains;transmitter Keyboard;22422;Island Parkways magnetic;PNG;product Frozen Account;hard web;Implementation auxiliary software;Quetzal Tasty;Wyoming;override salmon;Chicken Interactions Baby;Account Account;deposit;invoice up alliance;Kids;content Computer;bandwidth Enhanced;turquoise;Jewelery transmitting Kina;impactful;Product Soft Communications;redefine;Refined Buckinghamshire;Indiana generate;seamless distributed;cross-media AGP;Point Bike;Indiana;Analyst Health payment;Toys back-end;deposit Tasty;Avon;Intelligent Forward;51151;Montana invoice;2023-02-20;36937;Refined;2023-02-21;aa323f7f-d951-4442-bcea-31a961738a36
10;84842;Pataca;48096;deposit;Missouri Credit;payment;5852;Interactions;impactful maroon;customized;Usability Configuration;Frozen;ADP;open;application invoice Sports;Granite compressing deposit;plug-and-play Croatia;Venezuela Lesotho;Checking;Principal;innovative Rubber;copying robust line;parse exploit;compress Manager;Krone customized Pennsylvania;Port integrated;dedicated;Shoes;Montana;Peso;Kroon virtual;Tunisian Lead feed;Unbranded Shoes;Monaco leading-edge superstructure;FTP Georgia;Toys database SMTP;Surinam;Forges Licensed database;11709;multi-tasking hacking Fresh;2023-02-20;463;North payment;2023-02-20;d1bfe8e1-21e6-4fc8-8e6e-b64a0f78a575
