marketing_referral_type_id;marketing_referral_type_code;marketing_referal_type_description;status;created_by_id;created_date;updated_by_id;updated_date;created_by_name;updated_by_name;marketing_referal_type_master_uuid
1;neural;SMTP online;approach;61549;2023-07-30;72647;2023-07-30;Unbranded;Account;7d3a6849-0939-4158-bd2d-aeadc1236168
2;bandwidth payment;Direct JBOD;Fantastic web withdrawal;69695;2023-07-31;52379;2023-07-31;Handmade;SMTP;df9b20ae-43b9-48b4-881c-1a34adfef8c4
3;SSL Security;1080p Computer;encompassing Frozen;10232;2023-07-30;43325;2023-07-30;Ball Direct;dot-com Tactics;a074357b-8564-462d-8774-8be8f990875a
4;harness;Persevering;Engineer Home;29441;2023-07-31;20153;2023-07-30;withdrawal;Account;68ecf392-e998-4cf7-afdd-7c45635cfb93
5;generating models;hour;bluetooth calculate Singapore;17076;2023-07-30;82439;2023-07-31;project;Fantastic Orchestrator;40f33696-75b7-4053-9996-61e6bad60b56
6;Shoes quantifying auxiliary;payment one-to-one payment;Cotton Accounts Public-key;81354;2023-07-30;79352;2023-07-31;azure;Dynamic Creative cross-platform;225bf2e9-dfc4-47f5-b464-8350afeb3ac1
7;Chicken repurpose Automotive;transmitting;Mozambique;53107;2023-07-31;53181;2023-07-30;Tuna Washington;Cotton;c394f664-845e-421e-b499-73d73e620b9e
8;Soft;Pants payment Madagascar;auxiliary;2749;2023-07-31;54228;2023-07-30;communities Tasty Brand;Tuna Assurance up;206899e2-b12c-4ef6-b2b1-0c6d466743f9
9;Plains Austria;up Frozen;overriding;32026;2023-07-30;72133;2023-07-31;reboot Glen;Frozen open-source transmit;ae62269d-c8c8-48f6-8962-06984a5cd558
10;neural;firewall Kentucky;Avon;41964;2023-07-31;9448;2023-07-30;GB;Planner Devolved deposit;8368bca7-63c5-46e2-90be-ddaba4f2fa79
