id;itm_typ_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;62339;Turkey Car;syndicate Steel Metal;Program neural reintermediate;2023-04-11;driver
2;66396;logistical Soap Designer;analyzing Account actuating;Books infomediaries Garden;2023-04-10;Franc Slovenia
3;1233;Orchestrator program Hawaii;Consultant Buckinghamshire;array Practical;2023-04-11;holistic program Uganda
4;38942;Decentralized lime;Garden Luxembourg;interface program Underpass;2023-04-10;Cambridgeshire Dynamic redundant
5;72320;mobile maximized;orchid Rustic;Engineer;2023-04-10;Antillian
6;62153;synergistic withdrawal methodologies;Chief Baby;stable;2023-04-10;wireless Strategist Paraguay
7;79131;wireless Industrial;Soft;invoice Belarus Team-oriented;2023-04-10;Ball olive Computer
8;83928;hard Home Hollow;Beauty violet;Account;2023-04-10;Borders transmitting
9;38491;platforms;vortals Isle haptic;Industrial Configuration Rustic;2023-04-10;Sleek
10;30071;South;Customer synergistic;Program withdrawal transmitter;2023-04-11;Security purple users
