insurance_group_master_id;insurance_group_master_name;status;created_by_id;created_date;updated_date;created_by_name;updated_by_name;updated_by_id;insurance_group_master_uuid;insurance_group_master_no;insurance_group_master_description
1;granular payment Orchestrator;Rupee harness monitor;66647;2023-04-02;2023-04-02;Rustic;Investor;5768;d903ea19-6edc-45bf-801f-21f25ad212d3;Creative Distributed Land;Cambridgeshire Ball
2;Mouse;Global;80317;2023-04-02;2023-04-02;Refined Future-proofed;Montana Architect;53970;695dacbe-6392-4c93-b762-b6f4d977a3ff;disintermediate;Table
3;Designer;Grocery CSS Identity;2545;2023-04-02;2023-04-02;Account;Personal deposit Kentucky;28265;6ab2dc52-3360-4502-9c61-e11a1aaef5bd;embrace XSS Chicken;HDD
4;infrastructures;Licensed generating invoice;53134;2023-04-03;2023-04-02;Representative Exclusive;Account Sausages Diverse;56584;40e3bbb0-a82a-4042-b3e2-925ecabb3583;Cambridgeshire Georgia Salad;static Administrator
5;Pizza infrastructures District;definition Guinea Customer;33226;2023-04-02;2023-04-02;SMTP;Vermont;92169;4008343a-9dd8-42d3-83b0-ea0b793c9f93;Configuration payment black;invoice back-end Liberian
6;compress;synthesizing;2305;2023-04-02;2023-04-03;capability back-end;defect payment Account;10392;160f396f-27ed-4da4-b1cc-2a5930b6ae0c;Polarised hack;South
7;Senior;extend Configuration;45192;2023-04-02;2023-04-02;Lanka;Account parse Poland;80205;8f4a067c-48ef-4aed-b028-7578b0bd9882;SQL virtual;models
8;Shore Music Buckinghamshire;Bedfordshire Chief;61851;2023-04-02;2023-04-03;Gourde navigate;auxiliary;27177;95bc6825-32a8-40c5-8895-a0a222144b3b;Auto;back-end bleeding-edge
9;Home;impactful Leone;53246;2023-04-02;2023-04-02;Developer;Chair;83587;f2930130-be64-4259-8d3c-edb2d9618004;Bedfordshire;Berkshire holistic
10;Handcrafted;Points;97666;2023-04-03;2023-04-02;Communications ADP;Infrastructure Re-contextualized Dinar;29005;643d2363-599e-4d08-a520-dd1583492203;Senior Fantastic optimal;Practical
