role_user_map_id;user_id;role_id;description;status;created_by_id;created_date;updated_by_id;updated_date;created_by_name;updated_by_name;role_user_map_uuid
1;46263;77040;strategic scalable;Account;32086;2023-06-29;18516;2023-06-28;Account platforms;Consultant;1e37ae7f-5838-4f90-ad6d-53123be816e6
2;31587;97814;Synergized compressing;Wisconsin quantifying;41907;2023-06-28;43963;2023-06-29;maroon;JSON Corporate Optimization;7a75b780-3388-40bc-8d43-bc95ac678b5e
3;91261;6598;Keyboard Convertible;transmitting;95571;2023-06-28;36104;2023-06-29;Multi-layered;card Connecticut;5992b8b4-b5de-4f29-aae4-ae107b9bcb78
4;56953;91610;Consultant;Cotton Directives open-source;48663;2023-06-28;94573;2023-06-28;Awesome;Jewelery;37f02c2a-7b4b-4276-be7e-1a8ccd9660f4
5;28295;73867;input Buckinghamshire;Savings Security cyan;14785;2023-06-29;34170;2023-06-28;Division turquoise JSON;Coordinator wireless;904f617b-a422-4d28-a631-a6fc14a98e98
6;17767;82109;Research;indexing;30214;2023-06-28;10173;2023-06-29;Self-enabling Frozen;Buckinghamshire Falkland;19558539-0d63-4afd-bfb6-4d2c4ba2b916
7;35366;75257;Granite Licensed;Chips workforce;70444;2023-06-29;79018;2023-06-29;COM Books Cheese;maximize;05f96827-c8e7-418c-abd8-c3c5d5b5b61e
8;68094;30437;deposit;Sleek Ethiopia salmon;29912;2023-06-29;68655;2023-06-29;Borders;framework bandwidth leverage;331a5cd4-8de0-4e94-a652-7c02fbbe3866
9;89274;42740;Bacon services;port granular;9502;2023-06-29;72860;2023-06-28;Credit Rubber;Creative orchid;248d7416-6fab-4d97-a34a-8636740f1e54
10;22764;49496;Sleek;fresh-thinking iterate Berkshire;21201;2023-06-29;80678;2023-06-29;fuchsia salmon;Keyboard Handmade Singapore;ec7c2c43-f653-468d-9925-e28a43752c81
