cmn_document_id;cmn_id;cmn_no;generation_date;initial_document_name;fax_status;out_bound_fax_status;out_bound_fax_no;out_bound_fax_date_time;in_bound_fax_status;in_bound_fax_no;in_bound_fax_date_time;cmn_document_master_uuid;created_by_id;created_date;created_by_name;updated_by_id;updated_by_name;updated_date;return_document_name;cmn_comments;status
1;18738;Lock supply-chains;2023-02-07;scalable Kwacha;matrix Solutions Fantastic;port;Kentucky Pizza Awesome;2023-02-07;Maine;policy;2023-02-07;90109f2f-bb17-40f7-8f85-b22714707477;68296;2023-02-06;Wooden reinvent;76429;Electronics;2023-02-07;Gabon driver Borders;client-driven;haptic Sleek implement
2;66612;Cape;2023-02-07;Home;Kuna open-source Designer;Rubber;Massachusetts;2023-02-07;Ergonomic Borders;grey Factors Corporate;2023-02-06;2bf3296d-9d7a-42e4-9119-9fa9cd2b6c8f;41104;2023-02-06;Fantastic;23493;Forward;2023-02-06;pixel;SMTP Up-sized Tasty;Berkshire Checking contingency
3;55147;Consultant white generate;2023-02-07;Forks;Louisiana Metrics Concrete;Gorgeous;recontextualize;2023-02-07;Account;definition Administrator indigo;2023-02-06;3b9ef924-9e1c-4c6e-9c9c-73c4a601b6ff;36641;2023-02-06;cross-platform Tactics;13094;generation;2023-02-06;Versatile USB;JSON Minnesota;Beauty
4;33013;SCSI Communications radical;2023-02-07;Paradigm;Mozambique Analyst generate;Beauty Trail;1080p;2023-02-07;Alabama recontextualize;Interactions Ameliorated;2023-02-06;f287ce97-2dc8-452f-af7b-6674e6d4794d;76078;2023-02-07;Tools;20254;Spain Metal Kingdom;2023-02-07;GB Research;XML Handcrafted;bypassing azure Wooden
5;13711;generate Home Health;2023-02-07;Mouse Extended;executive enable Implementation;Marketing;metrics;2023-02-07;withdrawal and online;Buckinghamshire invoice end-to-end;2023-02-07;a54b4629-e89f-4bdf-aead-837b706cf7bf;99658;2023-02-06;viral Dollar;95628;HDD RSS modular;2023-02-07;application RSS;Designer;lime Generic
6;9237;SDD Account;2023-02-06;cutting-edge Planner;Architect;metrics Table Steel;Baby;2023-02-07;Robust;open;2023-02-06;e9db36a7-3dfc-4351-823e-13b35c33c9eb;85590;2023-02-07;Intelligent Soft open-source;83098;lime;2023-02-06;Village Engineer;Reduced payment;IB
7;33099;supply-chains index executive;2023-02-06;Monitored primary IB;back-end cohesive content;Shilling Towels;overriding Beauty;2023-02-07;Ergonomic Infrastructure;streamline Steel Director;2023-02-07;de61d609-34ed-484e-99d6-193c905a9fa2;87120;2023-02-06;optimal;92467;deposit Executive;2023-02-07;Belgium Jewelery copy;Oregon Franc;Fantastic Steel
8;89632;Circles program Implementation;2023-02-06;Borders Senior green;Organized;Prairie;quantifying haptic Applications;2023-02-07;sensor backing Reduced;architecture Administrator SMS;2023-02-07;a42aba1b-f258-4a82-81b3-474db614f219;81415;2023-02-07;Mills matrix;39392;Electronics Mouse;2023-02-07;Producer Triple-buffered;calculating Multi-channelled;Engineer Internal payment
9;55704;Computers Incredible Licensed;2023-02-07;Hawaii Rwanda;motivating Principal drive;Product;Wooden Tonga Dynamic;2023-02-07;online California hacking;ADP transmitting;2023-02-06;2f5b011c-3d62-495f-bd33-007092d3b3a5;2929;2023-02-06;Metal Christmas;86855;auxiliary feed;2023-02-06;invoice Forward Rue;Berkshire Escudo;Orchestrator instruction withdrawal
10;97181;Assurance olive;2023-02-07;Customer-focused Investment;Bolivar Account;focus Chair;Frozen orchid solid;2023-02-06;plum;Baby Bike;2023-02-06;05642d8f-b994-4d3a-9307-80b6b2a66c59;69484;2023-02-07;User-centric 24;87166;alarm Granite Berkshire;2023-02-06;Manager Strategist Account;Fantastic Senior;Soft
