sals_odr_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;neural Accounts Auto;users contingency driver;District deposit bandwidth;2022-12-12;USB
2;Concrete Handmade;Plastic card Texas;Customer Automotive upward-trending;2022-12-13;Reverse-engineered
3;withdrawal envisioneer;Glen;Islands RAM Strategist;2022-12-13;Senior
4;Trail Savings;Senegal;Accounts;2022-12-12;hard bus Cotton
5;transmitting;withdrawal;Function-based;2022-12-12;technologies
6;Cheese Iraqi reboot;invoice;product stable;2022-12-12;hack SCSI
7;upward-trending quantifying seize;of Plastic;Gloves mindshare;2022-12-12;Riel
8;AGP paradigms state;Shore;User-friendly Cliff matrix;2022-12-13;next-generation eyeballs
9;SDD;fault-tolerant;Hawaii metrics Savings;2022-12-12;Oklahoma Nakfa Cotton
10;pixel;copying generate Massachusetts;Sleek;2022-12-12;Squares Health up
