branch_id;branch_name;branch_group_id;npi;ptan;taxonomy_code;taxonomy_code_description;status;created_by_id;created_date;updated_date;tax_id_type;tax_id_no;branch_no;created_by_name;updated_by_name;updated_by_id;branch_office_uuid;billing_address_line_1;billing_address_line_2;billing_city;billing_state;billing_zip_code;submitter_contact_person_name;submitter_contact_phone_no_1;submitter_contact_phone_no_2;billing_fax;contact_email;zip;billing_contact_no_1;billing_contact_no_2;billing_email;branch_company;branch_group_name;address_line_1;address_line_2;city;state;signature_name;item_location_id;item_location_name;branch_company_id;is_dropship_allowed;billing_taxonomy_code;billing_npi;billing_organisation_name;billing_tax_id_no;billing_branch_name;fax
1;Digitized payment;93378;Marketing cross-platform;Kids;Coordinator Liaison;generating;Central Zimbabwe ivory;76231;2023-02-08;2023-02-08;Iowa;Bike Branding Focused;partnerships hacking reintermediate;quantifying;payment Dynamic;29651;643eca1f-29dd-4a85-872a-19e690259424;panel RSS;Bedfordshire markets;Music;Licensed Soap;invoice methodical Junctions;reboot;Card;Orchard up Refined;Rubber Aruba;front-end Loan Applications;Bacon;B2B Account;Mobility;Loan Wooden;Keyboard redundant;input;Group Garden;withdrawal seize;West Samantha;Unbranded;Buckinghamshire Mouse;contextually-based Berkshire;recontextualize Small Chief;79695;Practical Specialist Chair;Handcrafted;systems;withdrawal;connecting Pierre Loan;Dollar productize Towels;Soap Electronics De-engineered
2;magnetic Fantastic;95180;Bike Lek Movies;Product Markets;Home Qatar;Unbranded Savings;mission-critical Architect;25270;2023-02-09;2023-02-08;Bike;deposit navigate optimize;Massachusetts Refined Sausages;silver Chair maximize;turquoise;23902;751cbf2b-a37d-4f1f-bb20-8b6c3af8b2e0;eyeballs;Marks copying Concrete;Kroon;Adaptive;uniform;cutting-edge Steel;Borders Organized invoice;blockchains redefine;enable Consultant Implemented;Bedfordshire;deliverables;Applications;Reactive Bike;1080p Overpass;Motorway;robust Borders Intelligent;Quality;input;Okeyville;Factors conglomeration empower;Markets bandwidth;Tools Outdoors THX;Concrete Cotton Bacon;77755;best-of-breed;Technician;Berkshire;Tactics Ball;Roads Market Architect;Ergonomic;Mouse green
3;Automotive;89694;Director Automotive;array;migration;Future withdrawal;Planner;46695;2023-02-08;2023-02-09;challenge Savings;Gloves architectures Missouri;withdrawal;web-enabled York XSS;Associate granular;15980;2003c1a9-7842-4be7-878e-8f8939241157;Cambridgeshire synthesizing Account;Dollar generating;deposit indexing Liaison;utilize Incredible;Account array Assistant;Carolina;transmit;integrate;Libyan bottom-line IB;calculating;Shoes methodical Technician;Tuna;SQL;connect Bedfordshire Gorgeous;multi-tasking;Uzbekistan;Won;Shoes Grocery secured;Olympia;Granite Dollar;Licensed;Vision-oriented;Strategist bypass;35594;best-of-breed Customer bandwidth;Sleek optimal calculating;Plastic;Taka Handmade Group;Practical Auto;e-markets Refined;Implemented Borders
4;salmon;74452;reinvent Mississippi;Administrator Profit-focused;Research Rubber Chicken;Metrics vertical;monetize connect Saint;54386;2023-02-08;2023-02-09;Missouri Buckinghamshire;matrix calculating Computer;Health AI Hat;wireless;Guinea-Bissau Account Account;38621;b137a0f6-ad0d-4676-a825-db3b8af5a085;synergize client-server;incentivize Berkshire;methodologies;input Regional;Graphical;static Human;Awesome encoding;Manors expedite online;grow Industrial deposit;Soft United;AGP;users Plastic invoice;copy Borders;Cloned 6th;Rubber disintermediate;Administrator Account;Plastic Specialist;Officer;Lake Cheyennebury;HTTP Street;Plastic;black Factors;cutting-edge SSL Haven;8711;Inverse plum;Fish;violet Berkshire Multi-lateral;iterate Mobility;revolutionize pink infrastructures;Account deposit Clothing;SQL Bacon silver
5;Creative Myanmar;92109;Agent Granite facilitate;cutting-edge calculating;back;motivating AGP;SQL Awesome;84219;2023-02-08;2023-02-08;Cross-platform;Product Cotton services;input synthesize cross-media;integrate;UIC-Franc;49279;f7bfbfa7-97e9-4e85-9919-155fa218f93f;moratorium;array Shilling;enhance Frozen;reintermediate Ergonomic payment;calculate payment Gloves;XSS Tasty redundant;generation;Small;deposit overriding infomediaries;firewall Yemen transitional;recontextualize;Granite scalable reinvent;XML;Global Data;Paradigm Realigned Gorgeous;morph RAM Intranet;Money;SQL;Lake Einarchester;Cheese Personal IB;action-items;programming Division deposit;override Loan;99621;responsive plug-and-play;Sleek Ergonomic;Lesotho ADP;cross-platform driver;Specialist Cloned;Brand International Investor;convergence
6;scalable;97132;enterprise Birr open-source;Metal;Handmade Bedfordshire capacity;withdrawal function Towels;deposit Managed Configuration;99299;2023-02-09;2023-02-09;synergistic;target Concrete Rustic;e-services Fresh Handcrafted;Intranet Chair;architecture;49325;11bab192-a927-49bc-b441-9609f5e5896b;HDD;Gorgeous;Wooden Outdoors;calculating;Future;Account Kuna;Radial cyan;European;matrix orchid;Dynamic;Garden;Focused;secondary Movies B2C;Connecticut Architect Proactive;navigating;executive;drive;Zimbabwe up Wisconsin;Naomiberg;database Down-sized;Carolina;Walk;reinvent;32570;AI Markets Games;bluetooth Re-engineered;Accountability metrics;Account portals schemas;content Points;Robust;Investment
7;alliance mobile;77811;Lake navigating;Account transmitter;matrix;port;bypassing;67997;2023-02-08;2023-02-08;magnetic program;Small Netherlands uniform;projection;Concrete Computer;monitor Optimized;70545;ac6cceb4-fcfc-4822-8b13-28f279fefaf0;Soft orchid Customer;payment Steel back-end;Car;Decentralized;Concrete deposit;Pennsylvania supply-chains CSS;Director deposit Borders;invoice homogeneous Buckinghamshire;Ball;facilitate synthesize plug-and-play;Balanced;Tunnel sky strategic;Panama Ergonomic Concrete;repurpose;Granite Representative;process Optimized Borders;Specialist;fuchsia;Novafort;calculating Cambridgeshire;high-level Car connecting;Accountability;payment alliance driver;73719;Wyoming Account;ivory;back-end Executive;Versatile Garden;Metal asynchronous;Handmade Balboa workforce;application
8;functionalities;52371;violet redundant;maroon analyzer;haptic Plastic;Investment Avenue;panel Iowa Ergonomic;61106;2023-02-09;2023-02-09;Health;SQL;synthesizing;dynamic;e-markets National;35564;0f6135d6-aade-46c7-81f2-d0f58ffe8f69;Points Springs;content-based artificial synthesizing;yellow;Public-key reciprocal;Programmable;dynamic Handcrafted;Shirt Direct;transmit;mission-critical;Tasty;Soft Maine;infrastructures calculate;Direct Loan Planner;deposit capacitor;1080p Berkshire Health;lavender homogeneous Applications;AGP Concrete Open-architected;Account real-time Corner;Owensboro;Industrial Designer;Bedfordshire Human;Soft Pre-emptive;Diverse Monitored;70141;Mongolia Secured Optimization;SDD Facilitator;Checking;Generic Rustic;tolerance Games;Street SCSI;Tuna Table Cayman
9;world-class payment;97517;Accountability;Kids override;Principal Viaduct Money;Communications wireless Renminbi;Home Awesome;77574;2023-02-08;2023-02-09;Rustic synthesize Louisiana;input;Movies Cambridgeshire;USB structure;generate Global Faso;52434;3dee301f-e749-49e5-8452-150db8dfad36;generating;COM parse;Function-based;web-enabled Future;reciprocal;Executive;utilize;Shores ADP digital;compress auxiliary;Internal reboot Regional;Bedfordshire e-business Fresh;Practical;Concrete;Litas Leone;Chief Bedfordshire transmit;reboot bus;back-end Sausages;Tasty Tasty productize;East Megane;Pennsylvania Bacon Mall;withdrawal Specialist;Account;online Checking;79837;Connecticut Dynamic;Fantastic bypass;calculating incubate indigo;Direct Rustic;Stream;frictionless Gloves;Glens
10;out-of-the-box EXE Australia;26255;Producer XML Branding;Chair Administrator COM;payment out-of-the-box hacking;parse Metal Account;Berkshire Tasty;26979;2023-02-09;2023-02-09;Planner bluetooth;circuit Leone Pine;Metal;Grenada multi-byte systems;Turkmenistan feed payment;3776;d5b073b4-4253-43be-adf2-6576352fe2ee;Uganda discrete Cambridgeshire;Cheese;plum SQL installation;hack Metal;Groves Account;Tools Afghanistan firewall;integrated leading-edge Central;exuding web-enabled;Generic Sleek;Pennsylvania Wooden;benchmark;Product;Computer Roads Ohio;Cotton lime withdrawal;Central Total product;driver feed;sticky;Hampshire Data Indiana;Susannaborough;payment Industrial calculating;Fish SSL Brand;Factors;grid-enabled Motorway deposit;82641;Gorgeous;Cambridgeshire synthesize;Associate Proactive;Chicken Account Illinois;parsing payment Tuna;Guilder bypass Liberian;synthesizing
