stock_adjustment_id;adjustment_date;adjustment_no;adjustment_type;notes;location_id;location_name;item_id;item_name;item_no;item_uom;item_qty;wheather_serialized;wheather_asset_tagged;avg_price;adjustment_status;created_by_id;created_by_name;created_date;updated_by_id;updated_date;stock_adjustment_uuid;status;updated_by_name;branch_id;branch_name
1;2023-04-24;Forks;Lead;synthesizing orchid withdrawal;6297;deposit drive Optional;22074;models reinvent;Wooden;Extended;69322;Trail;Tuna Small;46063;vertical Auto California;24590;Keyboard azure;2023-04-25;35722;2023-04-24;6189678d-0dce-4706-a93b-1cf65f316749;Adaptive protocol;Market orchid;63880;Regional whiteboard
2;2023-04-24;Account Multi-layered;Inlet;monitoring online sky;60481;redundant web-enabled generating;63303;Virtual Account Producer;digital Awesome;invoice programming well-modulated;22991;Ridge Engineer Toys;technologies invoice Liaison;51228;Virtual;87706;eyeballs Republic;2023-04-24;39616;2023-04-24;06539b4a-4227-49d4-9995-faece9d7352c;markets;parsing transmit experiences;72370;Regional out-of-the-box
3;2023-04-24;Facilitator Baby virtual;purposes SMTP;turn-key Supervisor open-source;65976;COM exuding;44764;azure Identity Bedfordshire;JBOD Maryland;overriding;70141;invoice;Account Junction;86338;haptic;7196;quantify Sausages;2023-04-24;23655;2023-04-24;aeccb149-7851-4e71-867f-0c06a5105aba;disintermediate Cotton primary;Loan Future Steel;91483;Concrete HTTP
4;2023-04-24;Quality-focused application;Viaduct Identity;Awesome Mouse Michigan;27816;Garden Wooden;3972;reinvent Cayman payment;salmon;CSS cultivate Aruba;9388;Future Account Refined;Bacon;67688;Streamlined;87204;Montana application;2023-04-24;77093;2023-04-25;7d8e186a-c325-4960-a855-80bb349770bb;conglomeration;Account;95192;whiteboard 1080p
5;2023-04-24;RSS Rubber;withdrawal;Bedfordshire;24318;Rand Soft;71192;deliverables;Handmade;hacking;23576;Profound;Infrastructure Zealand Fresh;68583;back-end;77109;Nebraska;2023-04-24;82855;2023-04-24;127d15f8-9c02-4f0a-954f-ffe964aadb33;platforms;Mouse facilitate state;17403;index
6;2023-04-24;calculating Factors;haptic transmitting;Web hour;86007;Krone;55315;1080p;Frozen;microchip conglomeration;45404;THX capacitor firewall;Configuration networks;77408;Wooden;68409;distributed payment copying;2023-04-25;73101;2023-04-24;28eb4803-5bc5-48cc-b1f6-cb7c85dcd7be;user-centric Louisiana;COM;88563;Corporate
7;2023-04-24;backing;asymmetric Games Program;e-business Cheese;44317;back Hat overriding;95639;cross-platform envisioneer matrix;paradigm Dinar;Spain;55642;Account deposit Cross-group;Ford National dot-com;88181;cyan;16511;Brunei Multi-tiered Bedfordshire;2023-04-25;73028;2023-04-24;cf8e77e3-af0b-46df-b111-581bf46a3f69;defect;platforms;96168;network Corporate
8;2023-04-25;Usability copy;Center Soap;bandwidth indexing;38434;overriding Suriname pricing;41118;enterprise open-source;Sharable;Grocery;62687;Metal;Planner Sleek;15274;technologies;58055;Cambridgeshire;2023-04-24;25909;2023-04-24;f50fe6be-54e7-4aef-8dcf-72474ddf0c80;invoice logistical synthesizing;Supervisor Cambridgeshire Sports;26878;States
9;2023-04-24;up Manors Checking;scale blue redundant;Orchestrator;18974;streamline;64282;RAM contingency RSS;EXE Chicken transmitter;Keyboard optical;26042;Planner;withdrawal RAM;73569;Account Terrace Soap;36093;e-commerce;2023-04-24;29847;2023-04-24;54aead6e-63ea-46e1-aad4-78cd9e3273b9;eyeballs Credit Infrastructure;Central;44581;methodical Berkshire hack
10;2023-04-25;deposit Planner;Steel Port San;Officer contextually-based Planner;7045;back-end instruction;68884;interfaces Virgin;cross-media override;concept digital;22246;azure;blue Handcrafted;38905;Borders Cliffs;44538;withdrawal;2023-04-24;3603;2023-04-24;7ea8d75d-ae28-4ca5-a4b4-0954affdee23;JBOD;Tuna;68204;Chair
