id;not_tpe_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;1428;Tala;Producer;Jewelery AI Cheese;2023-04-02;West
2;30153;Kentucky withdrawal programming;New International Turnpike;Hat Stravenue compressing;2023-04-03;withdrawal
3;75991;Mississippi state Internal;Rubber lavender fuchsia;Cambridgeshire;2023-04-02;Roads
4;36788;Steel reboot;Dynamic Berkshire;Cook Identity;2023-04-02;Steel
5;21250;granular bluetooth Bedfordshire;methodologies generate silver;attitude content-based;2023-04-02;coherent Rustic driver
6;70488;client-driven;Practical;Pizza Somali;2023-04-03;Harbors clicks-and-mortar Rustic
7;89330;Computer;teal Account;cross-media Fresh Engineer;2023-04-03;Savings withdrawal
8;74173;Planner;synergistic;Cocos homogeneous Producer;2023-04-02;Progressive revolutionary
9;34631;navigating;Grocery Branding;magenta;2023-04-02;Mozambique Rustic Soft
10;21944;grey networks BCEAO;Wyoming Small Cotton;zero quantify Namibia;2023-04-02;Down-sized Soft Macedonia
