facility_id;facility_name;npi;sales_rep_id;status;created_by_id;created_date;updated_date;facility_type_id;created_by_name;updated_by_name;updated_by_id;facility_master_uuid;address_line_1;address_line_2;city;state;country;zip;contact_no_1;contact_no_2;fax;efax;email;relationship;mode_of_contact;facility_no
1;killer auxiliary payment;Illinois;24276;expedite programming;92294;2023-06-29;2023-06-29;62774;bifurcated;scale withdrawal;74121;e52e2932-61da-4ddd-b2b3-71629bf772e1;Cambridgeshire redundant multi-tasking;input;Braunport;Chief Checking withdrawal;Morocco;CSS Rustic Mouse;Mandatory Response;Cloned West;deposit Configuration Harbors;Borders haptic;Ari14@hotmail.com;Denmark bi-directional innovate;Ports Port Greenland;PNG benchmark Account
2;compressing invoice;infomediaries National;11495;SDD portal Cotton;12616;2023-06-28;2023-06-28;90343;virtual Fresh directional;calculating solutions;64366;61add0f5-a10d-4b3e-b37d-729100097c83;PNG;primary bandwidth Greece;Tulare;Cross-group;Kenya;Plastic Implementation GB;SAS card;Som Mongolia;Mozambique black Facilitator;parallelism;Shemar.Kulas@hotmail.com;3rd;Shoes feed Optional;Handcrafted Tuvalu
3;backing markets payment;Arkansas Cambridgeshire neural-net;6134;Auto USB solid;91948;2023-06-28;2023-06-29;43507;Computers Metal;withdrawal wireless;30719;773a7072-9f78-412f-8d63-b4f36f9f7ff5;e-commerce Chicken invoice;AGP parallelism;Azusa;Generic;Western Sahara;Data methodologies;Orchard;microchip;Archipelago);content SCSI;Maude87@yahoo.com;firewall;dedicated Infrastructure;deposit black Borders
4;invoice;Keyboard;65456;Latvia Cloned connecting;79644;2023-06-29;2023-06-28;38444;front-end;Seamless overriding;33440;ba5b1b65-95a0-43ef-94f5-d144404c7a3c;viral Kuna Movies;Street SDD;Adrienneton;primary Ball Account;Zambia;Wyoming deposit interfaces;Solutions;Electronics sensor;matrix digital Cambridgeshire;International;Arielle23@gmail.com;Metal Consultant Shirt;Expanded Brook Pennsylvania;Courts Quality
5;Island Tasty;Unbranded deposit;61772;Minnesota payment;68979;2023-06-28;2023-06-29;6654;TCP;New;22089;e5dc5d69-2a36-451e-b73e-c13c9f048757;Principal Denmark Computers;middleware focus synthesize;Dooleyborough;Persistent override e-tailers;Antarctica (the territory South of 60 deg S);zero Myanmar viral;District connect auxiliary;maroon;Kentucky;Peru Unions;Constantin78@gmail.com;services Verde;Buckinghamshire;up
6;paradigms bypassing motivating;Music Granite;9462;Taka Morocco THX;61922;2023-06-29;2023-06-28;61420;monitor Global;Fresh calculate Compatible;53287;9508b8bb-c993-4843-95b4-949c085c9745;Cambridgeshire feed;Facilitator;Gardnerhaven;Colombia Tuna Technician;Hong Kong;green global Glens;Dakota Grocery;users SAS;Extended Future;Savings;Zella.Aufderhar0@yahoo.com;Decentralized optical;Gourde;indigo Metal
7;Cambridgeshire Pakistan deposit;digital protocol ADP;89596;Multi-channelled;86357;2023-06-29;2023-06-29;45536;Strategist;cross-platform;22308;24c5bb98-4887-417a-bf79-a35ca3e0e7c2;Turnpike;Direct Bedfordshire 24/7;Cambridge;Ball;Kuwait;implementation navigating;Ramp Ergonomic Guyana;Anguilla;solid;programming Table Chicken;Randal.Heller4@gmail.com;Wooden Keyboard Berkshire;Car payment Buckinghamshire;reciprocal Chile Beauty
8;parse 1080p Fish;Chief;65394;panel;55849;2023-06-28;2023-06-28;60452;Consultant magenta;envisioneer Canada;57117;30f75351-7f64-4b28-958b-037167750308;indexing SAS Sleek;Avon Lilangeni communities;Mauricebury;Chips Inlet;Saint Pierre and Miquelon;protocol Frozen Distributed;payment Communications;harness Concrete;ivory;haptic;Rhea88@hotmail.com;Configuration calculate payment;Toys;overriding Mission Digitized
9;plum Innovative HTTP;Dalasi Dynamic paradigms;1682;orange e-tailers;84812;2023-06-28;2023-06-28;12487;Implementation;initiatives solid Salad;56242;fb2ce825-0192-4a56-9b3e-52978e8a4bc6;Gloves XSS clicks-and-mortar;technologies Granite;Schimmelmouth;green Health;Latvia;Cotton bypassing;connecting;violet;Internal;protocol Marketing Gloves;Dagmar_Zulauf11@yahoo.com;olive;Metrics deposit Bedfordshire;Optimization SDD syndicate
10;intranet 5th;HTTP Tunisia Soft;82959;Tokelau directional;49495;2023-06-28;2023-06-28;25210;Swedish;leading-edge Afghanistan;49725;54b8e5c6-b817-4a37-b39a-756326152225;Garden Washington blue;deposit;Considineborough;Avon;Christmas Island;CSS Market;connect Frozen;interfaces interfaces;Avon proactive;distributed Facilitator;Hilario_Flatley@gmail.com;parsing SQL;Central;Car
