item_serial_number_id;item_id;location_id;serial_number;asset_number;on_hand_status;purchase_date;sale_date;depreciation_status;useful_life_in_years;start_depreciation_date;original_cost;book_value;user_value_1;user_value_2;user_value_3;user_value_4;lot_batch_no;status;created_by_id;created_date;created_by_name;updated_by_name;updated_by_id;item_serial_number_uuid;item_no;item_name;location_name;on_rent_status;lot_batch_date;updated_date;lot_no;mfg_date;po_id;po_no;adjustment_id;adjustment_no;is_dropship
1;88682;47783;cross-media Developer incubate;convergence;Human Account Investor;2023-04-11;2023-04-10;Assurance sky;97874;2023-04-11;81857;37357;Egypt alarm;generation Chair;Central;Liaison toolset pink;solution;National New Greenland;73511;2023-04-10;Intelligent Sports;matrices Movies revolutionary;85311;bac8a9bf-fad7-4bee-b1f1-45157f1624f3;regional convergence;Practical 4th;Montana;GB Wooden fuchsia;2023-04-10;2023-04-10;Analyst;2023-04-11;37489;Steel withdrawal;65421;cutting-edge input aggregate;Cambridgeshire
2;36565;61859;Wisconsin users;Peru Internal Beauty;connecting Beauty state;2023-04-11;2023-04-10;moderator Steel;2318;2023-04-10;20415;67237;deposit;card;Account transmitting;1080p Chile;Infrastructure deposit;Enhanced Practical;27556;2023-04-10;Florida invoice protocol;generate Rubber;30735;7dc7da76-f682-4d07-acd8-8197192f26c6;Shoes Market Steel;User-friendly withdrawal Cotton;Mouse;Frozen Shoes;2023-04-10;2023-04-11;Forest protocol Consultant;2023-04-11;66603;withdrawal;55541;Practical Shirt compress;driver Wooden
3;87297;4021;bi-directional;XML;withdrawal Jewelery up;2023-04-10;2023-04-10;Accounts coherent;90007;2023-04-10;8588;74433;navigate Home;Concrete;redundant Directives Mobility;Senior;Concrete AGP parse;unleash Rand Senior;20658;2023-04-10;Music dynamic Cambridgeshire;turquoise navigating back-end;6250;a969409e-6372-4a10-b4ea-ad2b3477a5bc;Christmas;Incredible;Analyst Cotton;Keyboard Metal Ergonomic;2023-04-10;2023-04-10;input Centralized Persistent;2023-04-11;67066;PCI facilitate compressing;84882;Gorgeous;methodologies uniform
4;52240;66563;e-services;Legacy;Fantastic Grass-roots Intelligent;2023-04-10;2023-04-10;portals;28807;2023-04-10;24348;11048;Guarani pixel XSS;invoice invoice pink;withdrawal;Rubber;Gourde;redundant Auto;95601;2023-04-10;Rustic;Freeway;93676;5c14dd68-f740-4645-830d-3a0a9e6fa3d7;reinvent;Fresh Auto;Creative HDD;copying strategic;2023-04-10;2023-04-11;multi-byte;2023-04-11;64687;invoice auxiliary Refined;58557;Florida Concrete Forward;Multi-channelled hard
5;50089;32144;lavender;executive synergies;Borders;2023-04-11;2023-04-11;Concrete Regional Assistant;92056;2023-04-10;26513;92972;Lucia Hampshire;override;Bike Cambridgeshire connect;e-business;transmit frictionless Rubber;New solid Grocery;1213;2023-04-11;ivory;non-volatile Assistant GB;73847;283d2d22-e05b-413c-a9a3-6e74875b1359;indexing;array Assurance Senior;discrete;supply-chains;2023-04-10;2023-04-10;Moldova Shoes generating;2023-04-11;11123;Jewelery Bedfordshire synthesize;88709;synthesize IB;Buckinghamshire Cambridgeshire
6;24181;28040;Awesome;Technician Buckinghamshire;help-desk program Innovative;2023-04-11;2023-04-10;Incredible Slovenia;66051;2023-04-10;8025;92495;purple green Nuevo;compress Frozen synergies;Bermuda Plastic;Burundi;Ranch;Mexico transmitting;34643;2023-04-11;Krona Liberia;input;27520;8a6454be-835c-4bfc-840f-2c30f34be6bf;Salad Cotton capability;payment Frozen;invoice bluetooth;Games Gloves overriding;2023-04-10;2023-04-10;dedicated azure;2023-04-10;34288;interface drive Practical;24080;experiences Garden;Keyboard Executive Strategist
7;19663;80507;Groves;Developer;Agent;2023-04-10;2023-04-10;Outdoors International;1265;2023-04-10;41869;69255;synergistic matrices;Gorgeous;payment;Ball Balanced;Lev;Frozen Awesome;50725;2023-04-11;Investor;zero;80819;9370ac6e-cf82-4412-ba58-a2ecbdc37a39;bluetooth;monitoring;orchestration;Officer;2023-04-10;2023-04-10;Mobility Bahamas panel;2023-04-11;17925;indexing Riel Shoes;27026;Chief THX;Concrete Usability
8;60002;27640;eyeballs Mexico Open-source;Sports pixel;Wooden interactive;2023-04-11;2023-04-10;coherent array;70453;2023-04-11;23111;38708;Borders Generic;Forward Steel;Fresh;invoice EXE bypassing;Reverse-engineered Small program;Web;47645;2023-04-11;Infrastructure New Applications;radical;65730;9b2b2662-cab2-4602-aca8-5bb70ebc562d;Maryland Aruba Cambridgeshire;optimizing payment;explicit;Land;2023-04-11;2023-04-11;Refined methodologies payment;2023-04-11;23185;synergies;62731;enhance Virginia;blue Concrete
9;22397;32917;copy solutions deposit;Movies monitor deposit;invoice;2023-04-11;2023-04-10;Card rich;35869;2023-04-11;95165;77472;sensor;database Louisiana Factors;cross-platform embrace;International parse;Baby implementation system;Horizontal;73915;2023-04-10;Croatian;Markets Bedfordshire;30377;28dc8603-692d-49cf-9d40-d6a2582b7381;Grocery;drive bypass Gorgeous;analyzing payment Dynamic;Bedfordshire up copy;2023-04-11;2023-04-10;online;2023-04-11;5894;Stand-alone models;82577;dynamic HDD;Wyoming
10;35940;13651;Refined Accountability;Kids;blue;2023-04-11;2023-04-10;Account Fresh Profound;61750;2023-04-11;7147;88681;Island black;online Arkansas virtual;Research;redundant;world-class evolve;Shoes Cambridgeshire Cheese;64687;2023-04-11;Tanzania;virtual SDD;55081;83180a92-9160-432e-ab4f-bd2337971aed;Uganda open-source GB;Shirt salmon paradigm;auxiliary Euro Checking;optical cross-media Orchestrator;2023-04-10;2023-04-10;architect Global Program;2023-04-11;21032;transmitting;68870;Account Shoes;synthesizing
