pickup_exchange_item_id;pickup_exchange_id;so_id;item_id;item_no;item_name;whether_serialized;pickup_item_serial_no;pickup_item_asset_no;replacement_item_serial_no;replacement_item_asset_no;quantity;item_pickup_exchange_type;item_pickup_exchange_note;item_pickup_exchange_comment;item_pickup_exchange_status;status;created_by_id;created_by_name;created_date;updated_by_id;updated_by_name;updated_date;pickup_exchange_item_uuid
1;69892;68858;21026;Cotton Turks;5th incentivize;Sleek Granite;Account Account Principal;deploy Denar Place;deliver Rupiah;driver;95066;orange transmitting;calculating payment Cambridgeshire;Connecticut help-desk Realigned;Lead;e-markets Metal efficient;57517;white Industrial Indiana;2023-06-15;29974;Intelligent Senior;2023-06-15;c6812d97-d0f8-46d9-8e84-658300d1a1f1
2;17732;69351;33470;invoice mobile;Jewelery District;Chicken;reboot navigating;e-enable AGP;Bedfordshire Face Bike;Visionary Georgia Fords;2806;Forward Legacy Avon;Applications;Club parsing Switzerland;SSL feed;Points Buckinghamshire e-business;60771;Unbranded Movies;2023-06-15;25346;withdrawal Licensed;2023-06-15;37c8a623-3f2e-4efb-a979-c2d946c6724c
3;65835;41905;1993;primary;Hill deposit;Bedfordshire;Yen Senior;Exclusive;Soft Mouse;Shores Bermuda Tuna;66654;Pound Berkshire Buckinghamshire;blockchains;Practical;Engineer reboot;Faroe Comoros card;26534;purple Internal connecting;2023-06-14;67419;Bolivia Mission;2023-06-14;157160c6-85dd-4931-b1ac-b348b7a01ea4
4;45372;66550;10521;Legacy Brunei silver;Fresh;Representative;Fields Armenian;Account encompassing Licensed;payment Savings Producer;Interactions;56733;supply-chains methodologies;clicks-and-mortar AGP;index Bacon;Electronics Music turquoise;Configurable Dollar;91365;Avon;2023-06-15;25011;hack;2023-06-15;8b2cec59-cc6f-4b94-87e4-6bbf0f1ed092
5;30264;12200;61176;red Sports Sausages;withdrawal Avon connect;Concrete digital pink;TCP payment;digital Ridge Direct;front-end Applications;Buckinghamshire;23725;embrace Generic;Uganda Haven seize;Market;dynamic monitor;Towels Bedfordshire;35677;FTP Michigan;2023-06-14;48701;turquoise Codes;2023-06-15;c74e58e9-6e24-496d-92ca-d2ee1cb2a61d
6;2640;53311;12026;Namibia Maryland Computers;Soft Small Savings;SDD action-items digital;overriding;Licensed;capacitor;Iraqi Wyoming disintermediate;32558;frictionless Account dynamic;Kiribati;transmit Rubber;conglomeration;Optimized Unbranded input;60110;black connecting;2023-06-15;12764;District Open-architected payment;2023-06-14;9c14c2d7-622a-41ad-a83a-b12cc2139cb5
7;70980;46929;7270;services Principal Concrete;Wooden;1080p Baby;1080p Fish;African cross-media;Salad Movies Direct;Coordinator Shoes Communications;99312;Jersey;payment Customer Buckinghamshire;initiatives Practical Switchable;Wyoming bus Israel;generating Iowa parsing;17153;niches;2023-06-15;33202;Fish invoice back-end;2023-06-15;9c9bcc13-7174-4915-8e99-6218a2ab0cd7
8;85143;35566;92558;Accounts Cambridgeshire Account;JSON navigating;invoice online;Spain;Associate;Michigan;experiences;32595;Refined ROI copy;Suriname Ergonomic bypassing;Som object-oriented;Summit Chief Investor;Iowa IB sensor;48616;AI Lights Administrator;2023-06-15;75454;customized cross-platform;2023-06-15;3d9599a6-2363-4f41-bacd-2189d1e0a9de
9;9606;58516;93377;Licensed Wooden Extensions;Avon;Investor Designer;visionary parse;Frozen;Investor;Saint;76699;Engineer Buckinghamshire;Books;Grocery;Zloty;Fresh;63551;Tunnel Markets Circle;2023-06-15;45155;Berkshire Germany cross-platform;2023-06-15;a07c15bc-e301-4e06-8b4a-d4855b9515ad
10;90576;9386;70926;red Dollar engineer;Bedfordshire blockchains;copying;drive Burg;SDD Licensed;multi-byte;Health COM;99535;Implemented Beauty;lime structure;Forint;Regional connect;dynamic connecting Rapids;36573;network transmitter;2023-06-15;41114;maximize Georgia invoice;2023-06-15;79fe529b-37c2-4550-8136-7508d8655fc6
